,,Code,Total,United Kingdom,Non-United Kingdom,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
Hillingdon,2015,E09000017,296.0,200.0,96.0,19.0,9.0,9.0,1.0,,77.0,1.0,45.0,7.0,,36.0,,31.0,25.0,2.0,1.0,3.0,
Hillingdon,2016,E09000017,302.0,203.0,99.0,31.0,12.0,14.0,5.0,,67.0,2.0,43.0,7.0,2.0,29.0,5.0,23.0,15.0,3.0,,4.0,
Hillingdon,2017,E09000017,307.0,203.0,104.0,22.0,7.0,10.0,4.0,,82.0,3.0,59.0,10.0,6.0,38.0,5.0,20.0,11.0,2.0,2.0,3.0,2.0
Hillingdon,2018,E09000017,306.0,195.0,110.0,25.0,8.0,11.0,6.0,,85.0,3.0,61.0,8.0,6.0,45.0,3.0,21.0,15.0,1.0,,2.0,2.0
Hounslow,2004,E09000018,218.0,155.0,63.0,11.0,9.0,2.0,,,51.0,2.0,30.0,2.0,1.0,25.0,2.0,19.0,14.0,1.0,1.0,2.0,1.0
Hounslow,2005,E09000018,222.0,152.0,70.0,9.0,7.0,3.0,,,61.0,2.0,38.0,2.0,,29.0,6.0,21.0,13.0,1.0,,4.0,2.0
Hounslow,2006,E09000018,227.0,153.0,74.0,18.0,10.0,7.0,,1.0,57.0,1.0,36.0,2.0,2.0,27.0,5.0,20.0,14.0,2.0,1.0,2.0,2.0
Hounslow,2007,E09000018,232.0,142.0,90.0,19.0,9.0,8.0,1.0,1.0,71.0,1.0,51.0,10.0,2.0,34.0,5.0,19.0,11.0,,3.0,2.0,2.0
Hounslow,2008,E09000018,237.0,143.0,93.0,21.0,13.0,8.0,,,72.0,1.0,44.0,9.0,1.0,29.0,4.0,27.0,17.0,2.0,2.0,4.0,2.0
Hounslow,2009,E09000018,242.0,148.0,94.0,17.0,8.0,8.0,,,77.0,1.0,47.0,3.0,1.0,36.0,6.0,29.0,18.0,3.0,1.0,3.0,3.0
Hounslow,2010,E09000018,248.0,147.0,101.0,23.0,9.0,13.0,2.0,,78.0,2.0,53.0,8.0,2.0,38.0,6.0,23.0,15.0,2.0,1.0,2.0,3.0
Hounslow,2011,E09000018,254.0,152.0,102.0,25.0,11.0,12.0,2.0,,77.0,3.0,52.0,10.0,2.0,37.0,3.0,22.0,14.0,2.0,1.0,1.0,4.0
Hounslow,2012,E09000018,258.0,147.0,110.0,32.0,12.0,17.0,3.0,,78.0,2.0,54.0,9.0,3.0,40.0,3.0,22.0,12.0,2.0,,3.0,4.0
Hounslow,2013,E09000018,262.0,140.0,122.0,31.0,10.0,21.0,,,91.0,3.0,62.0,7.0,2.0,50.0,3.0,26.0,19.0,,2.0,3.0,2.0
Hounslow,2014,E09000018,267.0,139.0,127.0,39.0,15.0,23.0,,,88.0,5.0,63.0,8.0,3.0,49.0,3.0,20.0,14.0,1.0,2.0,1.0,2.0
Hounslow,2015,E09000018,268.0,143.0,124.0,29.0,14.0,12.0,2.0,,94.0,2.0,63.0,10.0,1.0,48.0,4.0,29.0,20.0,3.0,,2.0,3.0
Hounslow,2016,E09000018,274.0,142.0,132.0,26.0,8.0,10.0,8.0,,106.0,5.0,70.0,10.0,,53.0,7.0,30.0,18.0,4.0,1.0,5.0,3.0
Hounslow,2017,E09000018,278.0,139.0,138.0,32.0,14.0,14.0,4.0,,106.0,5.0,68.0,16.0,1.0,47.0,4.0,33.0,18.0,5.0,4.0,4.0,2.0
Hounslow,2018,E09000018,271.0,152.0,118.0,31.0,20.0,9.0,,,88.0,5.0,53.0,8.0,,42.0,2.0,30.0,19.0,2.0,5.0,3.0,
Islington,2004,E09000019,179.0,123.0,56.0,16.0,12.0,2.0,,2.0,40.0,6.0,11.0,1.0,3.0,6.0,1.0,23.0,12.0,1.0,2.0,5.0,3.0
Islington,2005,E09000019,182.0,125.0,57.0,17.0,14.0,1.0,,2.0,39.0,10.0,8.0,1.0,3.0,4.0,1.0,21.0,8.0,2.0,1.0,6.0,3.0
Islington,2006,E09000019,183.0,120.0,63.0,19.0,15.0,1.0,,3.0,44.0,4.0,11.0,2.0,3.0,5.0,1.0,29.0,12.0,2.0,3.0,7.0,5.0
Islington,2007,E09000019,187.0,132.0,55.0,19.0,14.0,3.0,,3.0,36.0,2.0,11.0,1.0,2.0,7.0,1.0,23.0,7.0,1.0,4.0,9.0,2.0
Islington,2008,E09000019,190.0,129.0,61.0,18.0,15.0,1.0,,2.0,44.0,5.0,14.0,2.0,2.0,6.0,3.0,24.0,8.0,1.0,4.0,7.0,3.0
Islington,2009,E09000019,195.0,140.0,55.0,18.0,15.0,1.0,,1.0,37.0,6.0,11.0,3.0,2.0,3.0,2.0,21.0,9.0,1.0,3.0,4.0,3.0
Islington,2010,E09000019,198.0,141.0,57.0,19.0,17.0,2.0,,1.0,38.0,5.0,10.0,2.0,2.0,4.0,3.0,23.0,11.0,,3.0,5.0,3.0
Islington,2011,E09000019,204.0,134.0,70.0,22.0,17.0,3.0,,1.0,47.0,5.0,16.0,3.0,3.0,7.0,3.0,27.0,11.0,2.0,5.0,5.0,3.0
Islington,2012,E09000019,209.0,137.0,72.0,27.0,22.0,3.0,,2.0,45.0,4.0,16.0,2.0,3.0,7.0,4.0,25.0,11.0,3.0,4.0,5.0,3.0
Islington,2013,E09000019,213.0,145.0,68.0,23.0,19.0,3.0,,1.0,45.0,5.0,12.0,2.0,4.0,4.0,1.0,28.0,14.0,,2.0,8.0,4.0
Islington,2014,E09000019,218.0,138.0,80.0,29.0,24.0,4.0,,2.0,51.0,8.0,17.0,3.0,6.0,6.0,3.0,26.0,10.0,1.0,3.0,5.0,6.0
Islington,2015,E09000019,224.0,142.0,82.0,31.0,24.0,5.0,1.0,2.0,51.0,8.0,18.0,2.0,6.0,6.0,4.0,24.0,14.0,1.0,4.0,2.0,4.0
Islington,2016,E09000019,230.0,143.0,85.0,32.0,26.0,4.0,,2.0,53.0,9.0,17.0,6.0,2.0,7.0,3.0,27.0,14.0,2.0,4.0,4.0,3.0
Islington,2017,E09000019,234.0,158.0,76.0,26.0,18.0,7.0,,,50.0,7.0,18.0,3.0,3.0,7.0,4.0,24.0,10.0,1.0,4.0,7.0,1.0
Islington,2018,E09000019,237.0,159.0,76.0,22.0,18.0,2.0,,,54.0,8.0,16.0,3.0,5.0,6.0,2.0,30.0,10.0,,7.0,8.0,4.0
Kensington and Chelsea,2004,E09000020,163.0,87.0,76.0,28.0,25.0,2.0,,1.0,48.0,6.0,14.0,7.0,1.0,3.0,3.0,28.0,8.0,5.0,8.0,4.0,2.0
Kensington and Chelsea,2005,E09000020,166.0,91.0,75.0,22.0,21.0,0.0,,1.0,52.0,4.0,16.0,6.0,3.0,4.0,3.0,32.0,9.0,3.0,9.0,5.0,5.0
Kensington and Chelsea,2006,E09000020,163.0,89.0,74.0,22.0,20.0,2.0,,,52.0,5.0,20.0,7.0,2.0,6.0,5.0,26.0,7.0,3.0,9.0,4.0,3.0
Kensington and Chelsea,2007,E09000020,161.0,92.0,68.0,19.0,18.0,1.0,,,49.0,5.0,14.0,7.0,1.0,2.0,4.0,30.0,9.0,2.0,8.0,7.0,4.0
Kensington and Chelsea,2008,E09000020,161.0,83.0,78.0,22.0,20.0,1.0,,,56.0,6.0,17.0,6.0,3.0,3.0,5.0,33.0,8.0,3.0,11.0,8.0,3.0
Kensington and Chelsea,2009,E09000020,160.0,85.0,75.0,22.0,19.0,2.0,,1.0,53.0,4.0,18.0,7.0,3.0,2.0,6.0,30.0,11.0,2.0,7.0,7.0,3.0
Kensington and Chelsea,2010,E09000020,159.0,84.0,74.0,23.0,21.0,2.0,,,51.0,3.0,19.0,8.0,2.0,5.0,4.0,28.0,10.0,2.0,6.0,7.0,3.0
Kensington and Chelsea,2011,E09000020,156.0,77.0,79.0,26.0,23.0,3.0,,,52.0,5.0,16.0,4.0,4.0,4.0,4.0,32.0,11.0,4.0,9.0,6.0,2.0
Kensington and Chelsea,2012,E09000020,154.0,76.0,78.0,26.0,23.0,2.0,1.0,,52.0,5.0,20.0,6.0,3.0,5.0,5.0,28.0,6.0,5.0,10.0,5.0,3.0
Kensington and Chelsea,2013,E09000020,152.0,72.0,79.0,28.0,25.0,2.0,0.0,,51.0,5.0,17.0,5.0,5.0,4.0,3.0,29.0,5.0,5.0,10.0,6.0,2.0
Kensington and Chelsea,2014,E09000020,150.0,68.0,82.0,29.0,25.0,2.0,1.0,1.0,53.0,5.0,18.0,5.0,3.0,5.0,6.0,30.0,8.0,4.0,9.0,6.0,3.0
Kensington and Chelsea,2015,E09000020,154.0,74.0,80.0,28.0,24.0,1.0,3.0,1.0,51.0,5.0,19.0,6.0,5.0,3.0,5.0,27.0,7.0,3.0,8.0,6.0,2.0
Kensington and Chelsea,2016,E09000020,156.0,74.0,82.0,31.0,26.0,2.0,2.0,1.0,50.0,6.0,15.0,5.0,3.0,5.0,3.0,29.0,9.0,4.0,7.0,6.0,3.0
Kensington and Chelsea,2017,E09000020,157.0,81.0,76.0,24.0,22.0,2.0,,,52.0,6.0,16.0,6.0,3.0,3.0,5.0,30.0,8.0,5.0,5.0,8.0,4.0
Kensington and Chelsea,2018,E09000020,154.0,78.0,76.0,25.0,23.0,1.0,,,51.0,5.0,21.0,8.0,5.0,4.0,4.0,25.0,6.0,2.0,10.0,6.0,1.0
Kingston upon Thames,2004,E09000021,150.0,118.0,32.0,10.0,8.0,1.0,,1.0,22.0,1.0,12.0,2.0,5.0,4.0,1.0,9.0,5.0,1.0,1.0,2.0,1.0
Kingston upon Thames,2005,E09000021,151.0,115.0,35.0,8.0,7.0,1.0,,,27.0,1.0,17.0,1.0,6.0,10.0,1.0,8.0,4.0,1.0,1.0,2.0,1.0
Kingston upon Thames,2006,E09000021,152.0,115.0,37.0,8.0,6.0,1.0,,,29.0,2.0,14.0,1.0,3.0,10.0,1.0,12.0,7.0,1.0,0.0,2.0,2.0
Kingston upon Thames,2007,E09000021,153.0,112.0,41.0,10.0,5.0,4.0,,,31.0,2.0,18.0,3.0,5.0,8.0,2.0,11.0,6.0,1.0,1.0,2.0,1.0
Kingston upon Thames,2008,E09000021,155.0,117.0,37.0,9.0,7.0,2.0,,,28.0,1.0,18.0,3.0,4.0,9.0,1.0,9.0,5.0,1.0,1.0,1.0,1.0
Kingston upon Thames,2009,E09000021,156.0,119.0,37.0,12.0,8.0,4.0,,,25.0,1.0,15.0,3.0,5.0,6.0,1.0,9.0,5.0,1.0,2.0,1.0,1.0
Kingston upon Thames,2010,E09000021,157.0,109.0,48.0,15.0,10.0,3.0,1.0,,33.0,3.0,20.0,3.0,6.0,10.0,1.0,11.0,7.0,,1.0,1.0,1.0
Kingston upon Thames,2011,E09000021,159.0,112.0,47.0,12.0,8.0,3.0,1.0,,35.0,2.0,22.0,3.0,6.0,12.0,1.0,11.0,6.0,1.0,2.0,2.0,
Kingston upon Thames,2012,E09000021,162.0,113.0,49.0,12.0,7.0,5.0,,,37.0,2.0,22.0,2.0,9.0,9.0,2.0,14.0,8.0,,2.0,3.0,1.0
Kingston upon Thames,2013,E09000021,165.0,118.0,47.0,15.0,6.0,6.0,2.0,1.0,32.0,2.0,19.0,2.0,7.0,10.0,1.0,11.0,6.0,,2.0,3.0,1.0
Kingston upon Thames,2014,E09000021,167.0,118.0,48.0,15.0,9.0,5.0,1.0,1.0,32.0,1.0,19.0,6.0,3.0,8.0,2.0,12.0,6.0,1.0,2.0,2.0,1.0
Kingston upon Thames,2015,E09000021,171.0,119.0,51.0,17.0,10.0,4.0,2.0,,34.0,3.0,19.0,6.0,4.0,8.0,2.0,11.0,6.0,,2.0,3.0,1.0
Kingston upon Thames,2016,E09000021,175.0,120.0,55.0,17.0,10.0,4.0,3.0,,37.0,2.0,24.0,4.0,6.0,11.0,2.0,12.0,6.0,1.0,1.0,3.0,1.0
Kingston upon Thames,2017,E09000021,178.0,122.0,56.0,15.0,8.0,3.0,3.0,,41.0,4.0,24.0,4.0,7.0,10.0,3.0,13.0,6.0,2.0,2.0,2.0,1.0
Kingston upon Thames,2018,E09000021,177.0,122.0,55.0,13.0,8.0,4.0,2.0,,42.0,6.0,24.0,3.0,7.0,10.0,4.0,12.0,6.0,3.0,2.0,,2.0
Lambeth,2004,E09000022,272.0,171.0,101.0,29.0,26.0,2.0,,2.0,71.0,6.0,11.0,,,5.0,6.0,54.0,26.0,2.0,2.0,21.0,3.0
Lambeth,2005,E09000022,275.0,170.0,105.0,28.0,23.0,4.0,,1.0,76.0,3.0,13.0,,1.0,6.0,5.0,60.0,31.0,1.0,2.0,21.0,5.0
Lambeth,2006,E09000022,277.0,181.0,95.0,27.0,24.0,2.0,,,69.0,3.0,12.0,2.0,,7.0,3.0,53.0,27.0,1.0,1.0,19.0,4.0
Lambeth,2007,E09000022,282.0,180.0,101.0,28.0,24.0,2.0,1.0,,73.0,2.0,15.0,2.0,2.0,6.0,5.0,56.0,30.0,2.0,3.0,17.0,5.0
Lambeth,2008,E09000022,286.0,181.0,105.0,23.0,19.0,4.0,,,82.0,1.0,17.0,2.0,5.0,8.0,3.0,63.0,34.0,3.0,3.0,17.0,6.0
Lambeth,2009,E09000022,292.0,188.0,104.0,27.0,22.0,4.0,1.0,,76.0,2.0,13.0,4.0,1.0,6.0,2.0,61.0,27.0,2.0,2.0,21.0,9.0
Lambeth,2010,E09000022,295.0,196.0,99.0,32.0,20.0,6.0,4.0,1.0,67.0,,12.0,1.0,2.0,4.0,5.0,55.0,20.0,3.0,5.0,23.0,4.0
Lambeth,2011,E09000022,302.0,200.0,102.0,39.0,30.0,6.0,2.0,1.0,63.0,5.0,12.0,2.0,4.0,2.0,4.0,47.0,19.0,2.0,3.0,18.0,4.0
Lambeth,2012,E09000022,308.0,195.0,113.0,49.0,35.0,12.0,3.0,,64.0,4.0,8.0,,3.0,2.0,3.0,52.0,24.0,3.0,5.0,17.0,3.0
Lambeth,2013,E09000022,313.0,200.0,112.0,45.0,33.0,10.0,,,67.0,2.0,11.0,2.0,3.0,3.0,3.0,55.0,21.0,,5.0,17.0,11.0
Lambeth,2014,E09000022,318.0,211.0,106.0,36.0,27.0,8.0,,,70.0,2.0,10.0,,,4.0,3.0,58.0,25.0,3.0,5.0,20.0,6.0
Lambeth,2015,E09000022,320.0,216.0,103.0,30.0,25.0,5.0,,,73.0,3.0,10.0,,,3.0,5.0,59.0,30.0,3.0,6.0,15.0,5.0
Lambeth,2016,E09000022,325.0,222.0,103.0,35.0,25.0,7.0,,,68.0,,9.0,,1.0,3.0,4.0,58.0,24.0,2.0,4.0,20.0,7.0
Lambeth,2017,E09000022,329.0,221.0,108.0,42.0,25.0,15.0,2.0,,67.0,3.0,5.0,,,1.0,2.0,59.0,23.0,,4.0,25.0,5.0
Lambeth,2018,E09000022,326.0,192.0,133.0,43.0,31.0,12.0,,,90.0,1.0,19.0,2.0,3.0,10.0,3.0,70.0,33.0,3.0,4.0,25.0,5.0
Lewisham,2004,E09000023,250.0,186.0,65.0,16.0,9.0,5.0,,2.0,49.0,5.0,12.0,,2.0,7.0,2.0,32.0,16.0,,,13.0,2.0
Lewisham,2005,E09000023,253.0,180.0,73.0,18.0,10.0,4.0,,3.0,55.0,5.0,14.0,1.0,2.0,8.0,2.0,37.0,17.0,1.0,,17.0,2.0
Lewisham,2006,E09000023,255.0,175.0,79.0,17.0,11.0,4.0,,2.0,62.0,6.0,15.0,1.0,2.0,10.0,2.0,41.0,23.0,,,16.0,1.0
Lewisham,2007,E09000023,259.0,178.0,81.0,20.0,15.0,3.0,1.0,2.0,61.0,7.0,14.0,2.0,1.0,7.0,4.0,40.0,23.0,,,14.0,1.0
Lewisham,2008,E09000023,265.0,182.0,83.0,25.0,15.0,7.0,1.0,2.0,58.0,4.0,15.0,1.0,2.0,7.0,4.0,39.0,25.0,1.0,1.0,11.0,
Lewisham,2009,E09000023,269.0,196.0,72.0,21.0,12.0,7.0,1.0,2.0,51.0,1.0,9.0,1.0,1.0,5.0,1.0,41.0,25.0,,1.0,14.0,1.0
Lewisham,2010,E09000023,271.0,173.0,98.0,20.0,13.0,4.0,,1.0,79.0,5.0,24.0,2.0,8.0,13.0,2.0,51.0,25.0,2.0,3.0,19.0,2.0
Lewisham,2011,E09000023,275.0,188.0,87.0,20.0,15.0,3.0,1.0,,67.0,3.0,21.0,2.0,6.0,11.0,3.0,44.0,20.0,2.0,4.0,16.0,2.0
Lewisham,2012,E09000023,280.0,186.0,94.0,27.0,16.0,9.0,,,67.0,4.0,26.0,8.0,2.0,12.0,3.0,37.0,15.0,,3.0,17.0,2.0
Lewisham,2013,E09000023,284.0,197.0,86.0,25.0,16.0,6.0,3.0,,61.0,4.0,21.0,5.0,3.0,9.0,4.0,35.0,16.0,,1.0,11.0,7.0
Lewisham,2014,E09000023,287.0,198.0,89.0,22.0,13.0,7.0,2.0,,67.0,7.0,20.0,4.0,5.0,7.0,4.0,40.0,17.0,2.0,3.0,13.0,6.0
Lewisham,2015,E09000023,295.0,193.0,103.0,23.0,14.0,7.0,,,79.0,7.0,25.0,3.0,2.0,13.0,7.0,48.0,24.0,3.0,3.0,14.0,4.0
Lewisham,2016,E09000023,300.0,208.0,92.0,26.0,16.0,8.0,,1.0,66.0,2.0,17.0,4.0,2.0,8.0,2.0,48.0,18.0,3.0,4.0,20.0,3.0
Lewisham,2017,E09000023,304.0,203.0,101.0,35.0,18.0,12.0,4.0,,66.0,3.0,23.0,3.0,3.0,11.0,6.0,40.0,19.0,,2.0,14.0,4.0
Lewisham,2018,E09000023,305.0,203.0,102.0,37.0,17.0,10.0,9.0,,65.0,7.0,18.0,3.0,3.0,9.0,4.0,40.0,15.0,1.0,3.0,17.0,3.0
Merton,2004,E09000024,188.0,131.0,57.0,15.0,9.0,6.0,,1.0,42.0,1.0,17.0,3.0,4.0,9.0,1.0,23.0,14.0,,2.0,6.0,1.0
Merton,2005,E09000024,189.0,132.0,58.0,15.0,9.0,6.0,,,42.0,1.0,14.0,1.0,3.0,9.0,1.0,27.0,17.0,,2.0,7.0,2.0
Merton,2006,E09000024,191.0,132.0,59.0,13.0,9.0,4.0,,,46.0,2.0,17.0,1.0,1.0,14.0,1.0,27.0,18.0,1.0,2.0,5.0,3.0
Merton,2007,E09000024,193.0,129.0,63.0,14.0,8.0,5.0,1.0,,50.0,1.0,21.0,1.0,3.0,15.0,3.0,28.0,16.0,,2.0,6.0,4.0
Merton,2008,E09000024,195.0,129.0,65.0,21.0,10.0,8.0,2.0,,44.0,2.0,18.0,2.0,1.0,14.0,1.0,24.0,15.0,,1.0,5.0,3.0
Merton,2009,E09000024,197.0,119.0,78.0,19.0,11.0,5.0,3.0,,59.0,3.0,26.0,4.0,3.0,18.0,1.0,31.0,18.0,2.0,1.0,7.0,3.0
Merton,2010,E09000024,198.0,116.0,81.0,25.0,12.0,11.0,1.0,,56.0,2.0,27.0,4.0,2.0,20.0,,27.0,15.0,1.0,1.0,5.0,4.0
Merton,2011,E09000024,199.0,113.0,85.0,24.0,9.0,11.0,3.0,1.0,61.0,3.0,27.0,1.0,3.0,21.0,2.0,31.0,19.0,,2.0,6.0,4.0
Merton,2012,E09000024,201.0,116.0,85.0,27.0,15.0,7.0,4.0,,59.0,2.0,28.0,1.0,3.0,22.0,2.0,28.0,17.0,1.0,2.0,5.0,3.0
Merton,2013,E09000024,202.0,124.0,78.0,24.0,10.0,9.0,4.0,,54.0,3.0,21.0,2.0,3.0,15.0,2.0,30.0,16.0,,3.0,7.0,4.0
Merton,2014,E09000024,203.0,120.0,84.0,25.0,11.0,11.0,2.0,,59.0,2.0,24.0,3.0,2.0,18.0,2.0,32.0,19.0,1.0,2.0,8.0,2.0
Merton,2015,E09000024,203.0,127.0,76.0,29.0,15.0,11.0,3.0,,47.0,2.0,21.0,3.0,3.0,13.0,1.0,24.0,14.0,,2.0,6.0,2.0
Merton,2016,E09000024,207.0,125.0,82.0,30.0,16.0,9.0,3.0,2.0,52.0,2.0,26.0,5.0,6.0,12.0,3.0,24.0,12.0,2.0,4.0,4.0,2.0
Merton,2017,E09000024,210.0,136.0,73.0,16.0,6.0,7.0,2.0,1.0,58.0,4.0,27.0,6.0,5.0,15.0,1.0,27.0,15.0,2.0,2.0,4.0,5.0
Merton,2018,E09000024,208.0,135.0,73.0,19.0,9.0,4.0,5.0,,54.0,,24.0,4.0,3.0,15.0,,29.0,13.0,,2.0,10.0,4.0
Newham,2004,E09000025,253.0,149.0,104.0,14.0,7.0,7.0,,1.0,90.0,4.0,56.0,1.0,1.0,50.0,3.0,31.0,19.0,1.0,,9.0,1.0
Newham,2005,E09000025,253.0,141.0,112.0,20.0,9.0,11.0,,1.0,91.0,4.0,50.0,,1.0,47.0,2.0,38.0,27.0,1.0,1.0,8.0,
Newham,2006,E09000025,257.0,130.0,127.0,24.0,8.0,14.0,,1.0,103.0,7.0,54.0,1.0,3.0,47.0,4.0,42.0,27.0,1.0,,14.0,
Newham,2007,E09000025,265.0,134.0,131.0,23.0,8.0,13.0,1.0,1.0,108.0,3.0,53.0,1.0,2.0,44.0,5.0,52.0,37.0,1.0,1.0,12.0,1.0
Newham,2008,E09000025,275.0,141.0,135.0,28.0,7.0,15.0,5.0,1.0,106.0,2.0,64.0,5.0,3.0,51.0,5.0,40.0,28.0,1.0,1.0,8.0,1.0
Newham,2009,E09000025,285.0,128.0,157.0,36.0,7.0,20.0,8.0,1.0,122.0,3.0,73.0,2.0,3.0,63.0,5.0,46.0,35.0,,1.0,9.0,
Newham,2010,E09000025,298.0,150.0,146.0,32.0,7.0,16.0,8.0,,114.0,1.0,79.0,4.0,3.0,66.0,7.0,33.0,27.0,1.0,1.0,4.0,
Newham,2011,E09000025,309.0,146.0,163.0,32.0,8.0,21.0,3.0,,131.0,1.0,86.0,2.0,2.0,75.0,7.0,44.0,36.0,,1.0,6.0,
Newham,2012,E09000025,313.0,153.0,159.0,30.0,5.0,17.0,8.0,,129.0,3.0,87.0,3.0,2.0,77.0,5.0,38.0,26.0,2.0,,10.0,
Newham,2013,E09000025,320.0,155.0,164.0,37.0,5.0,18.0,12.0,1.0,127.0,2.0,85.0,4.0,,76.0,5.0,40.0,29.0,,,10.0,1.0
Newham,2014,E09000025,327.0,158.0,168.0,47.0,14.0,24.0,9.0,,121.0,2.0,75.0,5.0,,62.0,7.0,44.0,28.0,1.0,2.0,12.0,
Newham,2015,E09000025,329.0,151.0,178.0,56.0,12.0,25.0,19.0,,122.0,6.0,75.0,3.0,3.0,62.0,6.0,41.0,31.0,,1.0,8.0,
