,,Code,Total,British,Non-British,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
,,,,,,European Union,European Union EU14,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Asia,Asia,Asia,Asia,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World
,,,,,,,,,,,,,All,Middle East and Central Asia,East Asia,South Asia,South East Asia,All,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
Borough,Year,,,,,,,,,,,,,,,,,,,,,,
Barking and Dagenham,2004,E09000002,165.0,142.0,23.0,5.0,3.0,2.0,,,18.0,2.0,7.0,1.0,,6.0,,8.0,7.0,,1.0,1.0,
Barking and Dagenham,2005,E09000002,165.0,144.0,21.0,5.0,4.0,1.0,,,16.0,4.0,4.0,1.0,,3.0,,8.0,7.0,,,1.0,
Barking and Dagenham,2006,E09000002,166.0,144.0,22.0,5.0,4.0,1.0,,,17.0,5.0,6.0,1.0,,5.0,,6.0,5.0,,,1.0,
Barking and Dagenham,2007,E09000002,168.0,143.0,25.0,9.0,4.0,4.0,1.0,,16.0,3.0,4.0,,,3.0,,10.0,9.0,,,1.0,
Barking and Dagenham,2008,E09000002,171.0,138.0,33.0,11.0,3.0,7.0,1.0,,22.0,2.0,7.0,,1.0,6.0,,13.0,11.0,,,2.0,
Barking and Dagenham,2009,E09000002,177.0,140.0,36.0,14.0,7.0,6.0,1.0,,22.0,3.0,5.0,,1.0,4.0,,14.0,11.0,,,2.0,
Barking and Dagenham,2010,E09000002,182.0,144.0,38.0,15.0,8.0,7.0,,,23.0,2.0,7.0,1.0,,5.0,1.0,13.0,12.0,,1.0,1.0,
Barking and Dagenham,2011,E09000002,186.0,137.0,49.0,22.0,9.0,11.0,2.0,,27.0,3.0,8.0,,,6.0,1.0,16.0,14.0,1.0,,1.0,
Barking and Dagenham,2012,E09000002,190.0,157.0,32.0,11.0,3.0,6.0,2.0,,21.0,1.0,7.0,,1.0,5.0,1.0,13.0,12.0,1.0,,,
Barking and Dagenham,2013,E09000002,193.0,147.0,46.0,19.0,5.0,12.0,2.0,,27.0,3.0,9.0,,1.0,6.0,2.0,15.0,12.0,,,2.0,
Barking and Dagenham,2014,E09000002,197.0,145.0,52.0,26.0,6.0,15.0,6.0,,26.0,3.0,9.0,1.0,,5.0,2.0,14.0,14.0,,,,
Barking and Dagenham,2015,E09000002,201.0,144.0,57.0,30.0,11.0,11.0,7.0,,27.0,1.0,10.0,2.0,1.0,6.0,2.0,15.0,15.0,,,,
Barking and Dagenham,2016,E09000002,206.0,161.0,45.0,26.0,8.0,10.0,7.0,,19.0,3.0,5.0,,,3.0,2.0,11.0,10.0,,,1.0,
Barking and Dagenham,2017,E09000002,210.0,160.0,50.0,31.0,11.0,12.0,8.0,,19.0,2.0,8.0,,1.0,6.0,,9.0,7.0,,,2.0,
Barking and Dagenham,2018,E09000002,215.0,167.0,48.0,27.0,6.0,11.0,9.0,,21.0,3.0,10.0,,,9.0,,8.0,6.0,,1.0,1.0,
Barnet,2004,E09000003,320.0,266.0,54.0,18.0,14.0,4.0,,,36.0,4.0,13.0,3.0,3.0,4.0,3.0,18.0,9.0,,1.0,4.0,3.0
Barnet,2005,E09000003,324.0,264.0,60.0,28.0,20.0,6.0,,1.0,33.0,3.0,18.0,,6.0,9.0,3.0,11.0,7.0,,2.0,2.0,
Barnet,2006,E09000003,329.0,263.0,65.0,30.0,17.0,13.0,,,36.0,5.0,15.0,4.0,3.0,7.0,,15.0,6.0,,3.0,4.0,2.0
Barnet,2007,E09000003,331.0,265.0,67.0,24.0,16.0,7.0,,,43.0,8.0,20.0,5.0,3.0,11.0,,15.0,6.0,,2.0,4.0,2.0
Barnet,2008,E09000003,336.0,270.0,65.0,25.0,14.0,8.0,2.0,,40.0,4.0,20.0,6.0,4.0,9.0,1.0,16.0,6.0,1.0,3.0,2.0,3.0
Barnet,2009,E09000003,343.0,269.0,73.0,37.0,16.0,15.0,5.0,,36.0,5.0,18.0,8.0,3.0,5.0,2.0,13.0,6.0,2.0,2.0,3.0,
Barnet,2010,E09000003,348.0,279.0,69.0,36.0,14.0,20.0,2.0,,33.0,4.0,20.0,1.0,5.0,8.0,6.0,9.0,4.0,,1.0,2.0,2.0
Barnet,2011,E09000003,355.0,285.0,68.0,32.0,10.0,16.0,6.0,,36.0,6.0,22.0,5.0,7.0,6.0,4.0,7.0,4.0,,,,1.0
Barnet,2012,E09000003,361.0,279.0,81.0,35.0,17.0,10.0,8.0,,46.0,5.0,31.0,13.0,2.0,7.0,8.0,10.0,7.0,,2.0,,
Barnet,2013,E09000003,367.0,297.0,68.0,34.0,14.0,15.0,5.0,,33.0,2.0,21.0,9.0,6.0,4.0,2.0,11.0,9.0,,1.0,,
Barnet,2014,E09000003,373.0,286.0,87.0,58.0,25.0,17.0,14.0,3.0,28.0,1.0,24.0,11.0,5.0,7.0,,3.0,,,2.0,,
Barnet,2015,E09000003,378.0,298.0,79.0,48.0,25.0,14.0,8.0,,31.0,3.0,19.0,10.0,3.0,5.0,1.0,9.0,2.0,2.0,2.0,2.0,
Barnet,2016,E09000003,385.0,304.0,80.0,42.0,21.0,8.0,12.0,,39.0,4.0,24.0,12.0,8.0,3.0,1.0,11.0,4.0,2.0,1.0,2.0,
Barnet,2017,E09000003,391.0,310.0,81.0,54.0,18.0,13.0,21.0,,27.0,4.0,9.0,2.0,3.0,1.0,2.0,14.0,3.0,,7.0,4.0,
Barnet,2018,E09000003,391.0,321.0,71.0,45.0,21.0,11.0,12.0,,26.0,,17.0,7.0,6.0,3.0,,9.0,3.0,,2.0,1.0,
Bexley,2004,E09000004,220.0,210.0,10.0,4.0,4.0,,,,5.0,,2.0,,,1.0,,3.0,3.0,,,,
Bexley,2005,E09000004,221.0,211.0,10.0,2.0,2.0,,,,8.0,,2.0,,,2.0,,6.0,4.0,,,1.0,
Bexley,2006,E09000004,222.0,208.0,15.0,3.0,2.0,1.0,,,11.0,,5.0,,,5.0,,6.0,4.0,,,2.0,
Bexley,2007,E09000004,223.0,209.0,14.0,6.0,5.0,1.0,,,8.0,1.0,2.0,,,1.0,,5.0,5.0,,,,
Bexley,2008,E09000004,226.0,208.0,17.0,6.0,6.0,,,,11.0,1.0,2.0,,,1.0,,8.0,7.0,,,1.0,
Bexley,2009,E09000004,227.0,213.0,14.0,7.0,3.0,3.0,,,7.0,2.0,2.0,,,2.0,,4.0,3.0,,,,
Bexley,2010,E09000004,230.0,211.0,18.0,8.0,5.0,2.0,,,11.0,,3.0,,1.0,2.0,,7.0,5.0,,,1.0,1.0
Bexley,2011,E09000004,232.0,211.0,21.0,9.0,4.0,5.0,1.0,,11.0,2.0,4.0,,2.0,2.0,,5.0,4.0,,,1.0,
Bexley,2012,E09000004,233.0,213.0,20.0,7.0,2.0,5.0,,,13.0,,3.0,,1.0,1.0,,9.0,6.0,,,3.0,
Bexley,2013,E09000004,235.0,208.0,27.0,12.0,2.0,9.0,1.0,,15.0,4.0,2.0,,,,1.0,9.0,7.0,,,1.0,
Bexley,2014,E09000004,236.0,211.0,25.0,10.0,5.0,4.0,,,15.0,3.0,3.0,,2.0,1.0,,9.0,7.0,,,2.0,
Bexley,2015,E09000004,242.0,217.0,24.0,10.0,4.0,3.0,2.0,2.0,14.0,3.0,4.0,,,3.0,,7.0,6.0,,,1.0,
Bexley,2016,E09000004,244.0,217.0,27.0,13.0,6.0,6.0,2.0,,14.0,1.0,5.0,,2.0,3.0,,8.0,8.0,,,,
Bexley,2017,E09000004,247.0,225.0,22.0,10.0,3.0,4.0,3.0,,12.0,1.0,4.0,,1.0,3.0,,7.0,5.0,,,1.0,
Bexley,2018,E09000004,249.0,219.0,29.0,18.0,5.0,11.0,1.0,,12.0,1.0,4.0,,,3.0,,7.0,5.0,,,1.0,
Brent,2004,E09000005,267.0,194.0,73.0,30.0,25.0,5.0,,,43.0,5.0,15.0,2.0,1.0,12.0,,22.0,10.0,1.0,,4.0,6.0
Brent,2005,E09000005,269.0,206.0,63.0,25.0,23.0,2.0,,,38.0,2.0,14.0,2.0,,12.0,,21.0,9.0,,1.0,7.0,3.0
Brent,2006,E09000005,275.0,208.0,67.0,25.0,14.0,10.0,,,42.0,5.0,18.0,5.0,,12.0,,19.0,9.0,,1.0,7.0,
Brent,2007,E09000005,282.0,196.0,86.0,31.0,15.0,11.0,5.0,,55.0,3.0,28.0,11.0,,16.0,1.0,23.0,5.0,,2.0,12.0,4.0
Brent,2008,E09000005,289.0,197.0,93.0,43.0,24.0,15.0,4.0,,50.0,1.0,26.0,6.0,,16.0,3.0,22.0,7.0,2.0,1.0,12.0,
Brent,2009,E09000005,296.0,208.0,88.0,48.0,22.0,13.0,12.0,,40.0,,23.0,4.0,,16.0,2.0,16.0,8.0,,,5.0,1.0
Brent,2010,E09000005,303.0,213.0,90.0,41.0,19.0,14.0,9.0,,48.0,3.0,30.0,5.0,,19.0,5.0,16.0,9.0,,,4.0,1.0
Brent,2011,E09000005,310.0,216.0,94.0,51.0,33.0,8.0,10.0,,42.0,2.0,24.0,4.0,,17.0,2.0,17.0,7.0,3.0,,6.0,
Brent,2012,E09000005,313.0,199.0,113.0,55.0,30.0,14.0,11.0,,58.0,,39.0,6.0,1.0,28.0,4.0,18.0,9.0,2.0,2.0,5.0,
Brent,2013,E09000005,317.0,196.0,117.0,54.0,33.0,12.0,10.0,,63.0,2.0,42.0,8.0,,29.0,5.0,19.0,9.0,1.0,2.0,5.0,2.0
Brent,2014,E09000005,322.0,198.0,122.0,63.0,33.0,16.0,13.0,,59.0,1.0,37.0,9.0,1.0,22.0,5.0,20.0,10.0,2.0,2.0,4.0,2.0
Brent,2015,E09000005,323.0,214.0,107.0,53.0,34.0,10.0,10.0,,54.0,2.0,34.0,8.0,,23.0,3.0,18.0,7.0,3.0,2.0,3.0,2.0
Brent,2016,E09000005,329.0,217.0,112.0,71.0,44.0,18.0,9.0,,41.0,1.0,29.0,6.0,,21.0,2.0,11.0,4.0,1.0,1.0,2.0,2.0
Brent,2017,E09000005,333.0,217.0,114.0,74.0,37.0,13.0,24.0,,40.0,2.0,25.0,4.0,,19.0,1.0,14.0,9.0,1.0,1.0,2.0,
Brent,2018,E09000005,328.0,226.0,102.0,66.0,38.0,11.0,16.0,,36.0,,27.0,11.0,2.0,14.0,,9.0,3.0,2.0,,2.0,1.0
Bromley,2004,E09000006,295.0,281.0,14.0,6.0,6.0,,,,8.0,1.0,1.0,,,,1.0,6.0,3.0,,1.0,,1.0
Bromley,2005,E09000006,297.0,277.0,20.0,6.0,5.0,,,,14.0,2.0,3.0,,,2.0,,10.0,3.0,,2.0,2.0,2.0
Bromley,2006,E09000006,299.0,277.0,22.0,10.0,7.0,3.0,,,12.0,1.0,2.0,,,,1.0,9.0,6.0,,1.0,,
Bromley,2007,E09000006,300.0,279.0,21.0,11.0,9.0,2.0,,,10.0,3.0,2.0,,,1.0,,5.0,4.0,,,,
Bromley,2008,E09000006,303.0,275.0,27.0,7.0,5.0,2.0,,,20.0,6.0,4.0,,,2.0,1.0,11.0,6.0,,,4.0,
Bromley,2009,E09000006,304.0,279.0,26.0,9.0,8.0,,,,17.0,2.0,3.0,,,,3.0,12.0,7.0,,2.0,,2.0
Bromley,2010,E09000006,306.0,288.0,19.0,7.0,7.0,,,,12.0,2.0,3.0,,,1.0,1.0,6.0,4.0,,,,2.0
Bromley,2011,E09000006,308.0,282.0,26.0,9.0,6.0,2.0,,,18.0,3.0,8.0,2.0,2.0,4.0,,7.0,5.0,,,,
Bromley,2012,E09000006,312.0,278.0,34.0,14.0,10.0,4.0,,,20.0,3.0,11.0,2.0,1.0,8.0,,7.0,3.0,,1.0,1.0,
Bromley,2013,E09000006,314.0,283.0,31.0,11.0,9.0,,1.0,,20.0,2.0,11.0,1.0,,8.0,1.0,7.0,2.0,,1.0,2.0,1.0
Bromley,2014,E09000006,316.0,278.0,38.0,19.0,10.0,7.0,1.0,,20.0,2.0,11.0,1.0,1.0,7.0,2.0,7.0,3.0,,1.0,1.0,1.0
Bromley,2015,E09000006,322.0,284.0,37.0,18.0,11.0,6.0,,,19.0,2.0,9.0,,3.0,5.0,,8.0,3.0,,2.0,,1.0
Bromley,2016,E09000006,326.0,290.0,36.0,21.0,10.0,8.0,4.0,,15.0,3.0,6.0,,2.0,3.0,,6.0,1.0,,2.0,,
Bromley,2017,E09000006,330.0,305.0,25.0,12.0,5.0,4.0,3.0,,12.0,2.0,6.0,,,3.0,2.0,4.0,2.0,,,,
Bromley,2018,E09000006,332.0,291.0,41.0,21.0,9.0,5.0,7.0,,20.0,3.0,8.0,,,4.0,3.0,10.0,5.0,,2.0,,2.0
Camden,2004,E09000007,203.0,157.0,45.0,14.0,13.0,2.0,,,31.0,3.0,9.0,1.0,4.0,3.0,1.0,19.0,7.0,,6.0,1.0,5.0
Camden,2005,E09000007,207.0,160.0,46.0,15.0,14.0,1.0,,,31.0,4.0,11.0,3.0,1.0,3.0,3.0,16.0,7.0,,4.0,2.0,2.0
Camden,2006,E09000007,207.0,151.0,56.0,18.0,16.0,2.0,,,39.0,4.0,14.0,5.0,3.0,4.0,2.0,21.0,6.0,1.0,7.0,5.0,2.0
Camden,2007,E09000007,208.0,150.0,58.0,21.0,18.0,3.0,,,36.0,2.0,14.0,6.0,2.0,4.0,2.0,20.0,7.0,1.0,6.0,2.0,4.0
Camden,2008,E09000007,207.0,149.0,58.0,26.0,24.0,1.0,,,33.0,2.0,11.0,4.0,4.0,2.0,1.0,20.0,7.0,,6.0,3.0,4.0
Camden,2009,E09000007,210.0,151.0,58.0,26.0,21.0,3.0,,1.0,33.0,4.0,13.0,4.0,4.0,4.0,2.0,15.0,5.0,,4.0,2.0,3.0
Camden,2010,E09000007,212.0,158.0,54.0,27.0,23.0,4.0,,,27.0,2.0,8.0,1.0,3.0,3.0,1.0,17.0,5.0,,6.0,2.0,4.0
Camden,2011,E09000007,218.0,169.0,47.0,24.0,21.0,2.0,,,23.0,4.0,8.0,1.0,2.0,4.0,1.0,11.0,3.0,,5.0,1.0,2.0
Camden,2012,E09000007,223.0,167.0,56.0,19.0,15.0,4.0,,,36.0,6.0,15.0,2.0,7.0,3.0,3.0,16.0,3.0,1.0,7.0,1.0,3.0
Camden,2013,E09000007,226.0,168.0,58.0,25.0,18.0,6.0,1.0,,34.0,4.0,15.0,2.0,5.0,6.0,2.0,15.0,2.0,1.0,8.0,3.0,
Camden,2014,E09000007,230.0,171.0,58.0,31.0,26.0,5.0,,,27.0,2.0,13.0,1.0,3.0,3.0,6.0,12.0,4.0,,5.0,1.0,2.0
Camden,2015,E09000007,237.0,183.0,53.0,27.0,24.0,2.0,,,26.0,2.0,9.0,,5.0,2.0,3.0,15.0,5.0,,5.0,2.0,2.0
Camden,2016,E09000007,246.0,182.0,63.0,32.0,29.0,3.0,,,31.0,3.0,11.0,1.0,5.0,3.0,2.0,16.0,3.0,2.0,7.0,3.0,2.0
Camden,2017,E09000007,250.0,181.0,69.0,33.0,27.0,2.0,,3.0,36.0,2.0,14.0,2.0,7.0,3.0,3.0,19.0,2.0,,9.0,3.0,5.0
Camden,2018,E09000007,256.0,184.0,70.0,37.0,32.0,1.0,2.0,,33.0,4.0,13.0,,4.0,5.0,2.0,16.0,2.0,,5.0,4.0,5.0
City of London,2004,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2005,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2006,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2007,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2008,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2009,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2010,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2011,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2012,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2013,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2014,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2015,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2016,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2017,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2018,E09000001,,,,,,,,,,,,,,,,,,,,,
Croydon,2004,E09000008,334.0,293.0,42.0,12.0,10.0,2.0,,1.0,29.0,1.0,11.0,2.0,1.0,6.0,2.0,17.0,9.0,,1.0,5.0,1.0
Croydon,2005,E09000008,336.0,295.0,41.0,11.0,9.0,1.0,,1.0,29.0,3.0,10.0,,1.0,7.0,2.0,16.0,10.0,,,6.0,
Croydon,2006,E09000008,337.0,294.0,44.0,16.0,9.0,7.0,,,28.0,1.0,11.0,,1.0,8.0,2.0,15.0,9.0,,,4.0,1.0
Croydon,2007,E09000008,341.0,293.0,48.0,25.0,12.0,13.0,,,23.0,2.0,8.0,,2.0,5.0,1.0,13.0,5.0,,1.0,6.0,
Croydon,2008,E09000008,346.0,294.0,52.0,17.0,10.0,4.0,3.0,,35.0,2.0,9.0,2.0,,3.0,3.0,24.0,13.0,,2.0,8.0,
Croydon,2009,E09000008,350.0,293.0,56.0,21.0,14.0,7.0,,,35.0,,12.0,1.0,,6.0,5.0,22.0,14.0,,1.0,6.0,
Croydon,2010,E09000008,355.0,305.0,49.0,17.0,13.0,4.0,,,32.0,,17.0,2.0,,8.0,7.0,14.0,11.0,,,3.0,
Croydon,2011,E09000008,362.0,309.0,53.0,26.0,17.0,7.0,,,28.0,3.0,11.0,,,6.0,3.0,13.0,7.0,,,6.0,
Croydon,2012,E09000008,366.0,312.0,54.0,22.0,15.0,4.0,,2.0,32.0,2.0,14.0,,,11.0,1.0,16.0,10.0,,1.0,5.0,
Croydon,2013,E09000008,370.0,298.0,72.0,35.0,21.0,13.0,,,37.0,1.0,16.0,1.0,,13.0,2.0,20.0,12.0,,,5.0,
Croydon,2014,E09000008,374.0,310.0,65.0,37.0,20.0,14.0,2.0,1.0,28.0,3.0,12.0,,,10.0,,12.0,8.0,,,4.0,
Croydon,2015,E09000008,377.0,318.0,59.0,32.0,19.0,13.0,,,26.0,2.0,9.0,,3.0,6.0,,15.0,6.0,,2.0,4.0,
Croydon,2016,E09000008,382.0,309.0,74.0,42.0,21.0,12.0,9.0,,31.0,2.0,17.0,,4.0,12.0,,13.0,5.0,1.0,,5.0,
Croydon,2017,E09000008,387.0,307.0,80.0,37.0,17.0,16.0,4.0,,43.0,4.0,24.0,,3.0,20.0,1.0,16.0,9.0,,1.0,4.0,
Croydon,2018,E09000008,387.0,320.0,66.0,33.0,11.0,17.0,5.0,,33.0,2.0,15.0,2.0,,11.0,2.0,17.0,6.0,,2.0,6.0,3.0
Ealing,2004,E09000009,307.0,242.0,65.0,19.0,15.0,4.0,,,46.0,2.0,29.0,2.0,4.0,21.0,1.0,15.0,8.0,1.0,2.0,2.0,1.0
Ealing,2005,E09000009,310.0,235.0,75.0,27.0,15.0,12.0,,,48.0,5.0,29.0,5.0,4.0,17.0,3.0,15.0,7.0,,1.0,5.0,
Ealing,2006,E09000009,312.0,233.0,79.0,30.0,20.0,10.0,,,49.0,4.0,23.0,3.0,4.0,15.0,2.0,22.0,12.0,,2.0,6.0,2.0
Ealing,2007,E09000009,316.0,226.0,90.0,39.0,25.0,14.0,,,51.0,2.0,28.0,5.0,3.0,18.0,2.0,20.0,11.0,,3.0,3.0,3.0
Ealing,2008,E09000009,321.0,243.0,78.0,40.0,22.0,17.0,2.0,,38.0,3.0,23.0,6.0,4.0,11.0,2.0,13.0,5.0,3.0,,2.0,2.0
Ealing,2009,E09000009,327.0,245.0,82.0,35.0,20.0,14.0,1.0,,47.0,3.0,27.0,7.0,7.0,13.0,,17.0,10.0,,2.0,1.0,3.0
Ealing,2010,E09000009,331.0,247.0,84.0,34.0,17.0,13.0,3.0,2.0,50.0,1.0,35.0,12.0,6.0,14.0,3.0,13.0,4.0,2.0,4.0,2.0,1.0
