,,Code,Total,British,Non-British,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
Ealing,2011,E09000009,336.0,250.0,86.0,48.0,17.0,26.0,4.0,1.0,38.0,2.0,26.0,7.0,6.0,7.0,6.0,10.0,2.0,,3.0,2.0,2.0
Ealing,2012,E09000009,337.0,248.0,90.0,45.0,16.0,26.0,3.0,,44.0,4.0,30.0,9.0,4.0,15.0,1.0,10.0,4.0,,2.0,4.0,
Ealing,2013,E09000009,340.0,260.0,80.0,37.0,19.0,16.0,1.0,,43.0,3.0,28.0,2.0,5.0,18.0,2.0,13.0,7.0,,2.0,2.0,1.0
Ealing,2014,E09000009,342.0,242.0,100.0,51.0,22.0,26.0,3.0,,49.0,,30.0,3.0,2.0,23.0,2.0,18.0,11.0,,2.0,1.0,3.0
Ealing,2015,E09000009,340.0,235.0,104.0,53.0,21.0,29.0,3.0,,51.0,3.0,33.0,8.0,4.0,20.0,1.0,15.0,4.0,2.0,1.0,3.0,5.0
Ealing,2016,E09000009,346.0,234.0,111.0,63.0,27.0,33.0,3.0,,48.0,,29.0,8.0,5.0,15.0,1.0,19.0,4.0,,1.0,8.0,4.0
Ealing,2017,E09000009,348.0,250.0,98.0,65.0,31.0,30.0,3.0,,33.0,,21.0,3.0,2.0,14.0,,12.0,3.0,,,6.0,3.0
Ealing,2018,E09000009,343.0,271.0,72.0,41.0,18.0,17.0,4.0,,32.0,4.0,21.0,2.0,4.0,14.0,,6.0,2.0,,,,2.0
Enfield,2004,E09000010,280.0,247.0,33.0,14.0,8.0,4.0,,3.0,18.0,7.0,3.0,,,2.0,,8.0,6.0,,,1.0,
Enfield,2005,E09000010,282.0,249.0,33.0,11.0,7.0,,,3.0,22.0,6.0,7.0,2.0,,4.0,,10.0,6.0,,,4.0,
Enfield,2006,E09000010,284.0,235.0,48.0,15.0,8.0,4.0,,3.0,33.0,10.0,9.0,1.0,1.0,7.0,,13.0,10.0,,,2.0,
Enfield,2007,E09000010,289.0,232.0,57.0,16.0,8.0,4.0,2.0,2.0,41.0,12.0,7.0,1.0,1.0,5.0,,21.0,18.0,,,1.0,
Enfield,2008,E09000010,295.0,229.0,65.0,19.0,11.0,6.0,2.0,,46.0,12.0,9.0,,2.0,5.0,2.0,24.0,20.0,,,4.0,
Enfield,2009,E09000010,300.0,240.0,60.0,21.0,11.0,8.0,2.0,1.0,39.0,13.0,11.0,,2.0,7.0,2.0,15.0,10.0,,,4.0,
Enfield,2010,E09000010,305.0,253.0,51.0,17.0,9.0,7.0,,1.0,35.0,13.0,4.0,1.0,,2.0,,18.0,12.0,,,4.0,1.0
Enfield,2011,E09000010,312.0,251.0,60.0,25.0,13.0,11.0,1.0,,35.0,13.0,9.0,2.0,,4.0,2.0,14.0,12.0,,,1.0,1.0
Enfield,2012,E09000010,315.0,265.0,50.0,23.0,10.0,8.0,3.0,,27.0,12.0,6.0,2.0,,4.0,,9.0,7.0,,,1.0,
Enfield,2013,E09000010,319.0,266.0,54.0,27.0,10.0,8.0,7.0,2.0,27.0,14.0,5.0,,1.0,3.0,,8.0,6.0,,,1.0,
Enfield,2014,E09000010,323.0,276.0,48.0,21.0,11.0,8.0,1.0,,27.0,10.0,8.0,3.0,,4.0,1.0,10.0,6.0,,,3.0,
Enfield,2015,E09000010,326.0,267.0,59.0,31.0,13.0,13.0,4.0,1.0,28.0,9.0,7.0,4.0,,1.0,,13.0,8.0,2.0,,2.0,
Enfield,2016,E09000010,332.0,271.0,60.0,33.0,14.0,13.0,5.0,,28.0,10.0,5.0,1.0,,4.0,,12.0,8.0,2.0,,3.0,
Enfield,2017,E09000010,336.0,288.0,49.0,28.0,11.0,8.0,9.0,,20.0,5.0,8.0,2.0,,5.0,,7.0,5.0,,,2.0,
Enfield,2018,E09000010,337.0,272.0,65.0,38.0,20.0,4.0,11.0,2.0,28.0,8.0,8.0,2.0,2.0,4.0,,12.0,8.0,,,3.0,
Greenwich,2004,E09000011,225.0,192.0,33.0,9.0,7.0,2.0,,,25.0,2.0,4.0,,1.0,1.0,2.0,18.0,13.0,,1.0,2.0,2.0
Greenwich,2005,E09000011,228.0,195.0,33.0,9.0,6.0,3.0,,,24.0,3.0,6.0,,2.0,2.0,1.0,15.0,11.0,,,3.0,1.0
Greenwich,2006,E09000011,232.0,199.0,32.0,9.0,8.0,1.0,,,23.0,3.0,6.0,1.0,,2.0,2.0,13.0,11.0,,1.0,1.0,1.0
Greenwich,2007,E09000011,234.0,194.0,40.0,11.0,7.0,4.0,,,29.0,1.0,12.0,2.0,2.0,5.0,2.0,15.0,12.0,,1.0,2.0,
Greenwich,2008,E09000011,237.0,191.0,47.0,11.0,7.0,2.0,2.0,,35.0,1.0,14.0,,3.0,9.0,2.0,20.0,16.0,1.0,,2.0,
Greenwich,2009,E09000011,241.0,191.0,50.0,17.0,14.0,2.0,1.0,,33.0,,13.0,,2.0,8.0,3.0,20.0,14.0,1.0,2.0,1.0,1.0
Greenwich,2010,E09000011,247.0,189.0,57.0,20.0,10.0,4.0,6.0,,37.0,2.0,18.0,1.0,5.0,10.0,2.0,17.0,11.0,,2.0,3.0,
Greenwich,2011,E09000011,253.0,192.0,61.0,30.0,11.0,14.0,5.0,,31.0,1.0,12.0,1.0,1.0,9.0,1.0,18.0,13.0,,1.0,3.0,1.0
Greenwich,2012,E09000011,258.0,200.0,57.0,28.0,13.0,14.0,1.0,,30.0,3.0,11.0,,,8.0,2.0,16.0,11.0,,2.0,2.0,1.0
Greenwich,2013,E09000011,262.0,207.0,55.0,21.0,8.0,7.0,6.0,,35.0,3.0,19.0,1.0,1.0,15.0,2.0,12.0,11.0,,1.0,,
Greenwich,2014,E09000011,267.0,209.0,58.0,26.0,12.0,11.0,3.0,,32.0,2.0,12.0,,1.0,10.0,,18.0,12.0,,3.0,,2.0
Greenwich,2015,E09000011,271.0,203.0,68.0,32.0,15.0,14.0,2.0,1.0,36.0,4.0,14.0,,,13.0,,18.0,12.0,,3.0,1.0,2.0
Greenwich,2016,E09000011,276.0,209.0,67.0,29.0,12.0,12.0,5.0,,38.0,2.0,18.0,2.0,,15.0,,19.0,13.0,,1.0,4.0,
Greenwich,2017,E09000011,280.0,210.0,70.0,36.0,17.0,13.0,5.0,,34.0,4.0,11.0,,2.0,8.0,1.0,20.0,15.0,,2.0,2.0,1.0
Greenwich,2018,E09000011,285.0,221.0,62.0,32.0,17.0,9.0,5.0,,29.0,4.0,11.0,,2.0,7.0,2.0,14.0,9.0,,2.0,1.0,1.0
Hackney,2004,E09000012,212.0,175.0,37.0,10.0,9.0,1.0,,,27.0,5.0,5.0,1.0,1.0,2.0,1.0,17.0,9.0,,2.0,5.0,2.0
Hackney,2005,E09000012,215.0,164.0,52.0,18.0,15.0,2.0,,,33.0,7.0,5.0,1.0,2.0,2.0,1.0,22.0,9.0,,2.0,9.0,2.0
Hackney,2006,E09000012,219.0,159.0,60.0,20.0,15.0,5.0,,,39.0,9.0,8.0,1.0,2.0,3.0,1.0,22.0,12.0,1.0,1.0,7.0,1.0
Hackney,2007,E09000012,223.0,165.0,57.0,15.0,8.0,7.0,,1.0,42.0,10.0,8.0,1.0,2.0,3.0,2.0,25.0,13.0,2.0,2.0,7.0,1.0
Hackney,2008,E09000012,230.0,178.0,52.0,19.0,12.0,5.0,1.0,,33.0,6.0,3.0,,1.0,2.0,1.0,24.0,11.0,1.0,2.0,7.0,2.0
Hackney,2009,E09000012,236.0,181.0,54.0,21.0,14.0,6.0,,,34.0,4.0,7.0,1.0,1.0,3.0,2.0,22.0,8.0,2.0,2.0,7.0,3.0
Hackney,2010,E09000012,241.0,195.0,45.0,20.0,14.0,4.0,2.0,,25.0,6.0,6.0,,3.0,1.0,2.0,14.0,6.0,1.0,2.0,2.0,2.0
Hackney,2011,E09000012,246.0,196.0,50.0,23.0,18.0,3.0,1.0,,28.0,6.0,4.0,,1.0,2.0,1.0,18.0,5.0,,1.0,7.0,4.0
Hackney,2012,E09000012,251.0,198.0,52.0,23.0,19.0,2.0,2.0,,29.0,6.0,6.0,1.0,2.0,2.0,,18.0,6.0,,3.0,6.0,2.0
Hackney,2013,E09000012,256.0,203.0,52.0,23.0,18.0,3.0,1.0,,29.0,6.0,5.0,,,2.0,2.0,18.0,7.0,,4.0,4.0,3.0
Hackney,2014,E09000012,261.0,204.0,57.0,24.0,20.0,4.0,,,32.0,7.0,5.0,1.0,,2.0,1.0,20.0,8.0,,4.0,3.0,4.0
Hackney,2015,E09000012,268.0,209.0,59.0,27.0,19.0,5.0,3.0,,32.0,6.0,7.0,1.0,1.0,3.0,2.0,18.0,7.0,,6.0,3.0,2.0
Hackney,2016,E09000012,272.0,208.0,64.0,29.0,22.0,6.0,1.0,,34.0,4.0,10.0,2.0,2.0,4.0,2.0,21.0,6.0,1.0,2.0,6.0,6.0
Hackney,2017,E09000012,277.0,204.0,73.0,33.0,23.0,8.0,1.0,,40.0,5.0,10.0,3.0,2.0,4.0,1.0,26.0,11.0,1.0,7.0,3.0,4.0
Hackney,2018,E09000012,281.0,214.0,67.0,36.0,33.0,3.0,,,31.0,4.0,10.0,1.0,2.0,5.0,2.0,17.0,7.0,,4.0,4.0,2.0
Hammersmith and Fulham,2004,E09000013,170.0,121.0,49.0,20.0,19.0,1.0,,,29.0,4.0,7.0,2.0,1.0,2.0,2.0,18.0,5.0,,4.0,4.0,5.0
Hammersmith and Fulham,2005,E09000013,172.0,126.0,46.0,21.0,19.0,2.0,,,25.0,1.0,5.0,1.0,1.0,1.0,1.0,19.0,4.0,1.0,3.0,4.0,7.0
Hammersmith and Fulham,2006,E09000013,173.0,132.0,41.0,20.0,19.0,1.0,,,22.0,3.0,4.0,1.0,,2.0,1.0,14.0,4.0,,2.0,2.0,5.0
Hammersmith and Fulham,2007,E09000013,175.0,134.0,41.0,24.0,20.0,3.0,,,17.0,,4.0,,2.0,,2.0,13.0,5.0,1.0,1.0,3.0,4.0
Hammersmith and Fulham,2008,E09000013,175.0,132.0,43.0,23.0,20.0,3.0,,,19.0,3.0,4.0,,1.0,2.0,1.0,12.0,5.0,1.0,2.0,2.0,3.0
Hammersmith and Fulham,2009,E09000013,178.0,131.0,47.0,24.0,20.0,3.0,,,23.0,2.0,5.0,3.0,1.0,1.0,,16.0,5.0,1.0,4.0,2.0,5.0
Hammersmith and Fulham,2010,E09000013,179.0,140.0,38.0,20.0,15.0,4.0,,,19.0,1.0,3.0,1.0,1.0,1.0,,14.0,5.0,,3.0,1.0,5.0
Hammersmith and Fulham,2011,E09000013,181.0,131.0,50.0,25.0,22.0,2.0,1.0,,25.0,2.0,7.0,2.0,1.0,3.0,1.0,16.0,5.0,1.0,3.0,1.0,6.0
Hammersmith and Fulham,2012,E09000013,178.0,133.0,45.0,19.0,17.0,2.0,,,26.0,3.0,7.0,1.0,2.0,1.0,3.0,16.0,3.0,1.0,3.0,3.0,5.0
Hammersmith and Fulham,2013,E09000013,177.0,123.0,54.0,32.0,27.0,4.0,1.0,,22.0,1.0,8.0,3.0,1.0,2.0,3.0,12.0,2.0,1.0,2.0,5.0,2.0
Hammersmith and Fulham,2014,E09000013,176.0,124.0,52.0,27.0,23.0,3.0,1.0,0.0,25.0,2.0,10.0,2.0,1.0,5.0,2.0,13.0,2.0,1.0,4.0,4.0,2.0
Hammersmith and Fulham,2015,E09000013,176.0,128.0,48.0,28.0,24.0,3.0,1.0,,20.0,3.0,8.0,1.0,4.0,2.0,,9.0,3.0,,2.0,3.0,1.0
Hammersmith and Fulham,2016,E09000013,181.0,125.0,55.0,33.0,29.0,2.0,,1.0,23.0,1.0,5.0,1.0,2.0,1.0,1.0,16.0,7.0,,4.0,4.0,2.0
Hammersmith and Fulham,2017,E09000013,182.0,127.0,55.0,35.0,27.0,6.0,1.0,,20.0,1.0,8.0,1.0,2.0,2.0,2.0,11.0,1.0,,3.0,2.0,4.0
Hammersmith and Fulham,2018,E09000013,180.0,131.0,50.0,28.0,22.0,3.0,2.0,,21.0,2.0,7.0,1.0,4.0,2.0,1.0,13.0,4.0,,4.0,5.0,
Haringey,2004,E09000014,225.0,172.0,53.0,15.0,13.0,3.0,,,38.0,14.0,8.0,1.0,2.0,5.0,,16.0,10.0,,1.0,3.0,1.0
Haringey,2005,E09000014,228.0,176.0,52.0,20.0,12.0,8.0,,,32.0,11.0,5.0,,,4.0,1.0,15.0,8.0,,1.0,5.0,1.0
Haringey,2006,E09000014,232.0,178.0,54.0,20.0,13.0,7.0,,,33.0,12.0,4.0,1.0,,3.0,,17.0,8.0,1.0,2.0,4.0,2.0
Haringey,2007,E09000014,235.0,175.0,61.0,18.0,10.0,6.0,1.0,,43.0,11.0,12.0,2.0,5.0,3.0,2.0,19.0,11.0,,3.0,4.0,2.0
Haringey,2008,E09000014,243.0,188.0,55.0,23.0,13.0,6.0,3.0,,31.0,6.0,7.0,2.0,2.0,1.0,1.0,19.0,10.0,,2.0,4.0,1.0
Haringey,2009,E09000014,248.0,188.0,60.0,28.0,15.0,10.0,2.0,,32.0,6.0,8.0,3.0,3.0,1.0,,18.0,8.0,,2.0,5.0,3.0
Haringey,2010,E09000014,251.0,184.0,66.0,32.0,15.0,11.0,6.0,,34.0,8.0,7.0,2.0,2.0,2.0,,18.0,9.0,,1.0,5.0,2.0
Haringey,2011,E09000014,254.0,183.0,71.0,36.0,14.0,17.0,4.0,,36.0,8.0,10.0,5.0,,2.0,2.0,18.0,10.0,1.0,,6.0,2.0
Haringey,2012,E09000014,258.0,195.0,62.0,37.0,16.0,15.0,5.0,1.0,25.0,8.0,3.0,,,1.0,,14.0,4.0,1.0,4.0,2.0,2.0
Haringey,2013,E09000014,260.0,197.0,62.0,35.0,19.0,9.0,6.0,,28.0,9.0,4.0,1.0,3.0,,,14.0,6.0,1.0,1.0,5.0,1.0
Haringey,2014,E09000014,263.0,191.0,72.0,49.0,22.0,11.0,14.0,2.0,23.0,6.0,6.0,1.0,,2.0,2.0,11.0,6.0,,1.0,3.0,2.0
Haringey,2015,E09000014,270.0,204.0,67.0,43.0,18.0,12.0,13.0,1.0,24.0,4.0,5.0,,2.0,1.0,1.0,14.0,7.0,,2.0,3.0,2.0
Haringey,2016,E09000014,275.0,201.0,74.0,45.0,19.0,17.0,9.0,,28.0,7.0,6.0,3.0,1.0,1.0,,16.0,7.0,,2.0,5.0,1.0
Haringey,2017,E09000014,278.0,199.0,79.0,54.0,26.0,19.0,9.0,,26.0,6.0,5.0,,2.0,2.0,,15.0,6.0,,3.0,4.0,1.0
Haringey,2018,E09000014,276.0,199.0,77.0,54.0,31.0,19.0,3.0,2.0,23.0,5.0,7.0,1.0,2.0,3.0,,12.0,3.0,,2.0,4.0,2.0
Harrow,2004,E09000015,215.0,175.0,40.0,13.0,11.0,2.0,,,27.0,3.0,12.0,1.0,1.0,8.0,,10.0,5.0,,3.0,1.0,1.0
Harrow,2005,E09000015,219.0,185.0,34.0,11.0,10.0,1.0,,,23.0,1.0,11.0,,1.0,10.0,,11.0,6.0,,3.0,1.0,1.0
Harrow,2006,E09000015,222.0,182.0,40.0,13.0,12.0,1.0,,,27.0,2.0,15.0,2.0,1.0,12.0,,9.0,6.0,,2.0,,
Harrow,2007,E09000015,225.0,190.0,34.0,10.0,6.0,2.0,2.0,,25.0,,15.0,1.0,,12.0,1.0,9.0,6.0,,1.0,1.0,1.0
Harrow,2008,E09000015,228.0,180.0,47.0,20.0,10.0,6.0,3.0,,28.0,,15.0,2.0,,10.0,3.0,12.0,9.0,,2.0,,1.0
Harrow,2009,E09000015,231.0,180.0,51.0,26.0,12.0,6.0,6.0,,26.0,1.0,14.0,2.0,2.0,9.0,2.0,10.0,7.0,,2.0,,
Harrow,2010,E09000015,235.0,184.0,51.0,23.0,15.0,4.0,4.0,,28.0,,20.0,,3.0,17.0,1.0,7.0,3.0,2.0,1.0,,
Harrow,2011,E09000015,238.0,179.0,59.0,28.0,15.0,8.0,4.0,,32.0,,23.0,1.0,1.0,20.0,1.0,8.0,5.0,2.0,1.0,,
Harrow,2012,E09000015,240.0,181.0,59.0,27.0,13.0,5.0,9.0,,32.0,2.0,23.0,3.0,1.0,17.0,1.0,7.0,4.0,1.0,1.0,,
Harrow,2013,E09000015,243.0,176.0,67.0,30.0,10.0,4.0,15.0,,37.0,2.0,25.0,5.0,1.0,16.0,4.0,9.0,5.0,1.0,2.0,1.0,
Harrow,2014,E09000015,245.0,175.0,70.0,32.0,12.0,8.0,12.0,,38.0,2.0,30.0,7.0,1.0,21.0,1.0,6.0,4.0,,1.0,1.0,
Harrow,2015,E09000015,246.0,183.0,63.0,37.0,15.0,11.0,10.0,1.0,27.0,,21.0,5.0,,15.0,,5.0,3.0,,,1.0,
Harrow,2016,E09000015,250.0,172.0,78.0,48.0,20.0,10.0,18.0,,30.0,1.0,19.0,2.0,,16.0,,9.0,5.0,,2.0,1.0,
Harrow,2017,E09000015,252.0,186.0,67.0,48.0,15.0,8.0,24.0,1.0,19.0,1.0,12.0,2.0,,9.0,,5.0,3.0,,1.0,1.0,
Harrow,2018,E09000015,249.0,185.0,64.0,44.0,15.0,9.0,21.0,,20.0,,17.0,3.0,1.0,12.0,1.0,3.0,,,,2.0,
Havering,2004,E09000016,224.0,217.0,7.0,2.0,2.0,,,,6.0,,2.0,,1.0,,1.0,4.0,3.0,,,,
Havering,2005,E09000016,225.0,219.0,7.0,2.0,2.0,,,,5.0,1.0,1.0,,,1.0,,2.0,1.0,,,1.0,
Havering,2006,E09000016,227.0,215.0,11.0,6.0,4.0,1.0,,,5.0,1.0,,,,,,4.0,3.0,,,1.0,
Havering,2007,E09000016,228.0,217.0,11.0,3.0,3.0,,,,8.0,1.0,2.0,,,1.0,,5.0,4.0,,,,
Havering,2008,E09000016,230.0,219.0,11.0,3.0,3.0,,,,9.0,2.0,1.0,,,1.0,,6.0,5.0,,,,
Havering,2009,E09000016,233.0,224.0,9.0,2.0,2.0,,,,7.0,1.0,3.0,,,2.0,,4.0,3.0,,,,
Havering,2010,E09000016,235.0,225.0,10.0,4.0,2.0,,1.0,,6.0,,3.0,,,1.0,1.0,3.0,2.0,,,1.0,
Havering,2011,E09000016,236.0,222.0,14.0,7.0,3.0,1.0,3.0,,8.0,,4.0,,,2.0,1.0,4.0,4.0,,,,
Havering,2012,E09000016,238.0,220.0,18.0,8.0,4.0,1.0,2.0,,10.0,,4.0,,,3.0,,6.0,4.0,,1.0,1.0,
Havering,2013,E09000016,240.0,222.0,18.0,9.0,3.0,2.0,3.0,,9.0,1.0,5.0,,,4.0,,3.0,1.0,,,1.0,
Havering,2014,E09000016,241.0,221.0,20.0,12.0,6.0,4.0,3.0,,8.0,,4.0,,,3.0,1.0,3.0,1.0,,1.0,,
Havering,2015,E09000016,248.0,230.0,18.0,8.0,2.0,5.0,2.0,,9.0,,3.0,,,2.0,1.0,6.0,3.0,,2.0,,
Havering,2016,E09000016,250.0,229.0,21.0,15.0,5.0,5.0,5.0,,6.0,1.0,3.0,,,,1.0,2.0,2.0,,,,
Havering,2017,E09000016,253.0,229.0,23.0,16.0,7.0,4.0,4.0,,8.0,2.0,2.0,,,,1.0,4.0,3.0,,,,
Havering,2018,E09000016,258.0,237.0,20.0,11.0,4.0,3.0,4.0,,10.0,1.0,4.0,,,2.0,2.0,5.0,3.0,,,2.0,
Hillingdon,2004,E09000017,246.0,210.0,36.0,13.0,10.0,3.0,,,23.0,2.0,8.0,,,7.0,,12.0,8.0,2.0,2.0,,
Hillingdon,2005,E09000017,249.0,209.0,40.0,13.0,12.0,1.0,,,27.0,2.0,12.0,3.0,,9.0,,12.0,6.0,1.0,4.0,,1.0
Hillingdon,2006,E09000017,252.0,218.0,34.0,13.0,12.0,1.0,,,21.0,,11.0,2.0,,8.0,,9.0,4.0,,1.0,2.0,1.0
Hillingdon,2007,E09000017,255.0,220.0,35.0,14.0,8.0,5.0,1.0,,20.0,,15.0,5.0,1.0,9.0,,5.0,2.0,,,,1.0
Hillingdon,2008,E09000017,259.0,220.0,38.0,16.0,10.0,5.0,1.0,,23.0,,16.0,3.0,1.0,10.0,1.0,7.0,4.0,,,1.0,
Hillingdon,2009,E09000017,263.0,220.0,44.0,19.0,10.0,9.0,,,25.0,,16.0,3.0,1.0,11.0,1.0,7.0,4.0,,3.0,,
Hillingdon,2010,E09000017,267.0,221.0,46.0,19.0,11.0,7.0,,,26.0,1.0,17.0,,,15.0,,8.0,6.0,,1.0,,
Hillingdon,2011,E09000017,273.0,227.0,46.0,25.0,13.0,11.0,2.0,,21.0,,16.0,2.0,,15.0,,5.0,3.0,,,,1.0
Hillingdon,2012,E09000017,279.0,218.0,59.0,25.0,10.0,8.0,6.0,,35.0,,23.0,1.0,,21.0,1.0,11.0,5.0,3.0,1.0,,
Hillingdon,2013,E09000017,284.0,236.0,48.0,15.0,6.0,7.0,2.0,,33.0,1.0,26.0,3.0,1.0,20.0,2.0,6.0,4.0,,,1.0,
Hillingdon,2014,E09000017,290.0,232.0,58.0,30.0,14.0,12.0,4.0,,28.0,1.0,18.0,4.0,,13.0,1.0,8.0,7.0,,,,
