,,Code,Total,British,Non-British,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
Newham,2016,E09000025,339.0,229.0,111.0,65.0,22.0,27.0,15.0,,46.0,5.0,32.0,,,25.0,4.0,10.0,8.0,,,,
Newham,2017,E09000025,346.0,216.0,130.0,79.0,39.0,26.0,13.0,,51.0,3.0,39.0,,2.0,30.0,6.0,10.0,9.0,,,,
Newham,2018,E09000025,354.0,257.0,97.0,53.0,17.0,19.0,16.0,,44.0,4.0,27.0,,,22.0,3.0,14.0,9.0,,,4.0,
Redbridge,2004,E09000026,247.0,220.0,26.0,6.0,3.0,2.0,,,21.0,2.0,12.0,,,11.0,,6.0,5.0,,,1.0,
Redbridge,2005,E09000026,250.0,216.0,33.0,10.0,7.0,3.0,,,23.0,2.0,15.0,,,14.0,1.0,6.0,6.0,,,,
Redbridge,2006,E09000026,254.0,218.0,36.0,12.0,8.0,4.0,,,24.0,,14.0,,,13.0,1.0,9.0,7.0,,,1.0,
Redbridge,2007,E09000026,258.0,211.0,48.0,14.0,7.0,4.0,3.0,,33.0,2.0,22.0,1.0,,20.0,,9.0,6.0,,1.0,2.0,
Redbridge,2008,E09000026,264.0,211.0,53.0,17.0,6.0,8.0,3.0,,36.0,1.0,22.0,,,20.0,2.0,12.0,8.0,,1.0,3.0,
Redbridge,2009,E09000026,269.0,217.0,50.0,13.0,4.0,7.0,2.0,,37.0,4.0,23.0,3.0,,18.0,1.0,10.0,5.0,,1.0,4.0,1.0
Redbridge,2010,E09000026,273.0,223.0,50.0,17.0,6.0,5.0,6.0,,33.0,2.0,19.0,1.0,,16.0,2.0,12.0,8.0,,2.0,1.0,
Redbridge,2011,E09000026,280.0,216.0,64.0,18.0,6.0,9.0,3.0,,45.0,3.0,31.0,1.0,2.0,26.0,2.0,11.0,8.0,,,2.0,1.0
Redbridge,2012,E09000026,283.0,224.0,59.0,16.0,6.0,7.0,4.0,,42.0,2.0,28.0,,2.0,25.0,,12.0,9.0,,1.0,2.0,1.0
Redbridge,2013,E09000026,287.0,233.0,54.0,18.0,6.0,5.0,6.0,,36.0,2.0,20.0,,,19.0,,14.0,10.0,1.0,2.0,1.0,1.0
Redbridge,2014,E09000026,291.0,228.0,62.0,27.0,9.0,9.0,9.0,,35.0,2.0,25.0,1.0,1.0,23.0,,8.0,4.0,,2.0,2.0,
Redbridge,2015,E09000026,296.0,238.0,58.0,29.0,14.0,6.0,9.0,,29.0,1.0,22.0,,,22.0,,5.0,3.0,,1.0,1.0,
Redbridge,2016,E09000026,302.0,230.0,71.0,39.0,17.0,8.0,14.0,,32.0,1.0,24.0,1.0,,22.0,1.0,7.0,3.0,,,2.0,
Redbridge,2017,E09000026,307.0,221.0,85.0,45.0,18.0,8.0,19.0,,40.0,4.0,30.0,,,28.0,1.0,7.0,4.0,,,1.0,1.0
Redbridge,2018,E09000026,307.0,222.0,85.0,54.0,19.0,13.0,21.0,1.0,31.0,4.0,23.0,,,22.0,,4.0,2.0,,,,1.0
Richmond upon Thames,2004,E09000027,177.0,156.0,22.0,10.0,9.0,1.0,,,11.0,,2.0,,,1.0,,9.0,2.0,,2.0,2.0,3.0
Richmond upon Thames,2005,E09000027,180.0,157.0,22.0,10.0,9.0,1.0,,,12.0,,2.0,1.0,1.0,0.0,1.0,9.0,3.0,,2.0,2.0,3.0
Richmond upon Thames,2006,E09000027,181.0,161.0,20.0,6.0,5.0,1.0,,,13.0,2.0,3.0,1.0,,2.0,,9.0,3.0,,3.0,1.0,2.0
Richmond upon Thames,2007,E09000027,181.0,152.0,28.0,15.0,11.0,4.0,,,13.0,1.0,4.0,2.0,,1.0,,9.0,3.0,,3.0,1.0,2.0
Richmond upon Thames,2008,E09000027,181.0,154.0,27.0,15.0,12.0,2.0,1.0,1.0,12.0,1.0,3.0,2.0,,1.0,,8.0,2.0,,3.0,,2.0
Richmond upon Thames,2009,E09000027,183.0,154.0,29.0,14.0,8.0,3.0,1.0,1.0,15.0,1.0,4.0,2.0,,1.0,1.0,10.0,2.0,,2.0,2.0,4.0
Richmond upon Thames,2010,E09000027,185.0,158.0,27.0,13.0,9.0,3.0,1.0,,14.0,2.0,3.0,1.0,1.0,,1.0,9.0,3.0,2.0,1.0,1.0,2.0
Richmond upon Thames,2011,E09000027,186.0,157.0,29.0,14.0,10.0,3.0,1.0,,15.0,3.0,3.0,2.0,,,,9.0,2.0,,3.0,1.0,3.0
Richmond upon Thames,2012,E09000027,187.0,158.0,29.0,16.0,12.0,4.0,,,13.0,1.0,4.0,1.0,2.0,1.0,,8.0,,,2.0,1.0,4.0
Richmond upon Thames,2013,E09000027,188.0,160.0,29.0,18.0,14.0,4.0,,,10.0,2.0,3.0,2.0,1.0,,,6.0,1.0,,2.0,1.0,2.0
Richmond upon Thames,2014,E09000027,190.0,157.0,33.0,17.0,11.0,5.0,1.0,,16.0,2.0,3.0,1.0,,2.0,1.0,10.0,2.0,,3.0,2.0,3.0
Richmond upon Thames,2015,E09000027,194.0,165.0,29.0,17.0,10.0,5.0,1.0,,12.0,3.0,2.0,,,1.0,1.0,7.0,,,3.0,1.0,3.0
Richmond upon Thames,2016,E09000027,198.0,171.0,27.0,18.0,14.0,4.0,,,9.0,1.0,2.0,,,1.0,,6.0,,,2.0,,4.0
Richmond upon Thames,2017,E09000027,201.0,172.0,29.0,18.0,14.0,3.0,1.0,,11.0,2.0,5.0,2.0,1.0,,2.0,4.0,,,1.0,,1.0
Richmond upon Thames,2018,E09000027,197.0,162.0,34.0,19.0,15.0,3.0,1.0,,15.0,1.0,3.0,1.0,,1.0,,11.0,2.0,,2.0,3.0,3.0
Southwark,2004,E09000028,255.0,198.0,57.0,20.0,18.0,1.0,,1.0,37.0,2.0,8.0,2.0,2.0,2.0,3.0,26.0,16.0,,1.0,6.0,3.0
Southwark,2005,E09000028,260.0,194.0,66.0,23.0,20.0,2.0,,1.0,42.0,4.0,13.0,2.0,3.0,5.0,4.0,24.0,13.0,,3.0,5.0,2.0
Southwark,2006,E09000028,266.0,201.0,65.0,19.0,16.0,3.0,,,46.0,4.0,12.0,4.0,3.0,3.0,3.0,31.0,17.0,1.0,2.0,8.0,2.0
Southwark,2007,E09000028,271.0,209.0,62.0,18.0,14.0,3.0,,,44.0,3.0,12.0,1.0,1.0,5.0,4.0,29.0,17.0,,,8.0,3.0
Southwark,2008,E09000028,275.0,208.0,66.0,21.0,15.0,4.0,1.0,,45.0,3.0,9.0,1.0,2.0,2.0,4.0,32.0,17.0,1.0,2.0,10.0,2.0
Southwark,2009,E09000028,279.0,213.0,65.0,25.0,19.0,5.0,,,40.0,4.0,8.0,,2.0,4.0,2.0,28.0,12.0,1.0,2.0,9.0,3.0
Southwark,2010,E09000028,282.0,212.0,70.0,28.0,22.0,3.0,2.0,,42.0,3.0,9.0,,4.0,3.0,2.0,30.0,15.0,3.0,1.0,7.0,3.0
Southwark,2011,E09000028,287.0,211.0,75.0,22.0,15.0,4.0,1.0,1.0,53.0,,17.0,2.0,10.0,4.0,,35.0,21.0,2.0,3.0,8.0,2.0
Southwark,2012,E09000028,291.0,226.0,65.0,27.0,20.0,5.0,1.0,,37.0,2.0,10.0,,3.0,5.0,2.0,25.0,13.0,,3.0,6.0,3.0
Southwark,2013,E09000028,295.0,230.0,64.0,29.0,19.0,6.0,3.0,1.0,35.0,3.0,6.0,,2.0,2.0,1.0,26.0,16.0,1.0,,6.0,3.0
Southwark,2014,E09000028,299.0,231.0,68.0,27.0,21.0,6.0,,,41.0,3.0,8.0,,3.0,1.0,4.0,30.0,16.0,2.0,3.0,7.0,2.0
Southwark,2015,E09000028,305.0,231.0,74.0,31.0,22.0,7.0,1.0,,43.0,4.0,7.0,,3.0,,3.0,32.0,16.0,1.0,5.0,9.0,1.0
Southwark,2016,E09000028,312.0,244.0,69.0,33.0,26.0,5.0,,,36.0,2.0,10.0,,3.0,3.0,3.0,24.0,13.0,,2.0,7.0,2.0
Southwark,2017,E09000028,317.0,228.0,89.0,50.0,35.0,6.0,8.0,,39.0,,10.0,,3.0,1.0,5.0,28.0,17.0,,5.0,4.0,2.0
Southwark,2018,E09000028,317.0,230.0,88.0,47.0,40.0,5.0,3.0,,41.0,2.0,9.0,,,4.0,4.0,30.0,16.0,,4.0,5.0,5.0
Sutton,2004,E09000029,180.0,166.0,14.0,5.0,5.0,,,,8.0,,3.0,,,1.0,1.0,6.0,3.0,,1.0,1.0,1.0
Sutton,2005,E09000029,180.0,163.0,18.0,8.0,7.0,1.0,,,10.0,1.0,4.0,,,3.0,1.0,5.0,3.0,,1.0,,
Sutton,2006,E09000029,181.0,166.0,16.0,7.0,6.0,,,,9.0,,3.0,,,3.0,,5.0,3.0,,,1.0,
Sutton,2007,E09000029,183.0,164.0,19.0,8.0,4.0,3.0,1.0,,10.0,,5.0,1.0,,3.0,,5.0,2.0,,,2.0,
Sutton,2008,E09000029,184.0,173.0,12.0,7.0,4.0,2.0,,,5.0,,3.0,,,2.0,,2.0,1.0,,,,
Sutton,2009,E09000029,187.0,167.0,20.0,8.0,6.0,1.0,1.0,,12.0,2.0,6.0,1.0,,4.0,1.0,4.0,2.0,,,,2.0
Sutton,2010,E09000029,188.0,167.0,21.0,8.0,4.0,3.0,,,13.0,1.0,7.0,,1.0,5.0,1.0,5.0,3.0,1.0,,,1.0
Sutton,2011,E09000029,190.0,162.0,27.0,10.0,6.0,3.0,1.0,,17.0,1.0,7.0,,1.0,3.0,2.0,9.0,4.0,,,3.0,2.0
Sutton,2012,E09000029,192.0,168.0,24.0,7.0,5.0,2.0,,,17.0,1.0,8.0,,,5.0,3.0,8.0,5.0,,,1.0,1.0
Sutton,2013,E09000029,194.0,170.0,24.0,10.0,5.0,4.0,1.0,,14.0,,10.0,1.0,,5.0,4.0,5.0,3.0,,,,
Sutton,2014,E09000029,196.0,170.0,25.0,9.0,4.0,4.0,2.0,,16.0,1.0,9.0,1.0,2.0,4.0,2.0,6.0,4.0,,,,1.0
Sutton,2015,E09000029,199.0,172.0,26.0,13.0,5.0,6.0,1.0,,14.0,,8.0,1.0,,6.0,,6.0,2.0,,,,2.0
Sutton,2016,E09000029,202.0,171.0,31.0,15.0,6.0,7.0,2.0,,16.0,1.0,7.0,2.0,,5.0,,7.0,5.0,,,,2.0
Sutton,2017,E09000029,204.0,176.0,28.0,13.0,5.0,7.0,1.0,,14.0,2.0,8.0,1.0,,6.0,,4.0,3.0,,,,
Sutton,2018,E09000029,204.0,171.0,33.0,20.0,6.0,5.0,9.0,,14.0,2.0,9.0,2.0,2.0,4.0,,3.0,2.0,,,1.0,
Tower Hamlets,2004,E09000030,210.0,169.0,41.0,12.0,8.0,3.0,,,29.0,3.0,16.0,,6.0,9.0,1.0,10.0,5.0,,1.0,2.0,2.0
Tower Hamlets,2005,E09000030,212.0,163.0,49.0,16.0,11.0,5.0,,,33.0,1.0,18.0,,4.0,12.0,1.0,14.0,5.0,1.0,2.0,3.0,3.0
Tower Hamlets,2006,E09000030,216.0,164.0,52.0,13.0,8.0,6.0,,,39.0,3.0,24.0,2.0,4.0,16.0,2.0,12.0,6.0,,2.0,1.0,3.0
Tower Hamlets,2007,E09000030,224.0,161.0,62.0,19.0,13.0,5.0,1.0,,43.0,,28.0,4.0,4.0,18.0,1.0,15.0,3.0,1.0,2.0,5.0,4.0
Tower Hamlets,2008,E09000030,231.0,181.0,49.0,16.0,10.0,5.0,,1.0,33.0,1.0,21.0,2.0,5.0,13.0,2.0,11.0,3.0,1.0,2.0,2.0,2.0
Tower Hamlets,2009,E09000030,239.0,195.0,45.0,15.0,11.0,4.0,,,30.0,,18.0,2.0,3.0,13.0,,12.0,3.0,2.0,2.0,3.0,2.0
Tower Hamlets,2010,E09000030,247.0,188.0,58.0,18.0,14.0,2.0,,,41.0,2.0,29.0,,4.0,21.0,3.0,10.0,4.0,1.0,2.0,1.0,2.0
Tower Hamlets,2011,E09000030,255.0,187.0,67.0,23.0,13.0,9.0,,1.0,44.0,3.0,31.0,,5.0,23.0,2.0,10.0,2.0,2.0,3.0,1.0,1.0
Tower Hamlets,2012,E09000030,262.0,187.0,74.0,25.0,19.0,6.0,,,49.0,5.0,33.0,,9.0,22.0,1.0,11.0,2.0,,3.0,4.0,2.0
Tower Hamlets,2013,E09000030,269.0,203.0,66.0,28.0,20.0,8.0,,,37.0,3.0,18.0,1.0,4.0,12.0,1.0,16.0,3.0,1.0,1.0,6.0,5.0
Tower Hamlets,2014,E09000030,276.0,216.0,60.0,31.0,21.0,8.0,,1.0,29.0,3.0,15.0,1.0,3.0,11.0,,11.0,2.0,2.0,1.0,2.0,4.0
Tower Hamlets,2015,E09000030,293.0,231.0,62.0,28.0,20.0,7.0,1.0,,34.0,2.0,20.0,,6.0,14.0,,12.0,2.0,,2.0,3.0,3.0
Tower Hamlets,2016,E09000030,302.0,229.0,74.0,40.0,31.0,7.0,2.0,,34.0,1.0,18.0,,4.0,10.0,4.0,14.0,2.0,2.0,1.0,2.0,7.0
Tower Hamlets,2017,E09000030,311.0,216.0,94.0,45.0,39.0,5.0,,,49.0,3.0,30.0,,9.0,17.0,4.0,16.0,3.0,,2.0,2.0,8.0
Tower Hamlets,2018,E09000030,314.0,222.0,92.0,53.0,40.0,8.0,5.0,,38.0,3.0,28.0,,5.0,20.0,2.0,8.0,4.0,,,,2.0
Waltham Forest,2004,E09000031,223.0,189.0,34.0,9.0,6.0,3.0,,,25.0,5.0,7.0,,1.0,5.0,1.0,13.0,8.0,1.0,,4.0,
Waltham Forest,2005,E09000031,225.0,182.0,43.0,8.0,5.0,3.0,,,35.0,10.0,11.0,,,6.0,4.0,15.0,10.0,1.0,,4.0,
Waltham Forest,2006,E09000031,229.0,192.0,37.0,13.0,6.0,7.0,,,24.0,5.0,8.0,,1.0,7.0,,10.0,5.0,,,3.0,2.0
Waltham Forest,2007,E09000031,234.0,193.0,41.0,16.0,6.0,9.0,2.0,,25.0,4.0,8.0,,,7.0,1.0,13.0,8.0,,,4.0,
Waltham Forest,2008,E09000031,240.0,201.0,39.0,18.0,5.0,11.0,1.0,,21.0,1.0,8.0,,,7.0,,13.0,7.0,1.0,,4.0,
Waltham Forest,2009,E09000031,247.0,203.0,43.0,28.0,9.0,13.0,6.0,,15.0,4.0,3.0,,,2.0,,7.0,5.0,,,2.0,
Waltham Forest,2010,E09000031,252.0,193.0,58.0,28.0,10.0,11.0,7.0,,30.0,4.0,12.0,1.0,1.0,8.0,2.0,14.0,9.0,1.0,1.0,3.0,
Waltham Forest,2011,E09000031,258.0,191.0,66.0,37.0,8.0,18.0,11.0,,29.0,7.0,10.0,,,8.0,1.0,12.0,6.0,1.0,,3.0,1.0
Waltham Forest,2012,E09000031,261.0,195.0,66.0,37.0,8.0,13.0,15.0,,29.0,5.0,12.0,,,10.0,1.0,12.0,6.0,1.0,,5.0,
Waltham Forest,2013,E09000031,265.0,192.0,73.0,39.0,13.0,17.0,8.0,,34.0,5.0,14.0,,,13.0,,15.0,8.0,,,7.0,
Waltham Forest,2014,E09000031,269.0,202.0,64.0,41.0,18.0,13.0,10.0,,24.0,5.0,7.0,,,6.0,,11.0,4.0,1.0,,4.0,2.0
Waltham Forest,2015,E09000031,269.0,210.0,59.0,37.0,9.0,19.0,9.0,,22.0,6.0,4.0,,2.0,2.0,,12.0,3.0,,2.0,4.0,3.0
Waltham Forest,2016,E09000031,274.0,203.0,71.0,51.0,10.0,23.0,17.0,,20.0,2.0,5.0,,,5.0,,12.0,9.0,,,,
Waltham Forest,2017,E09000031,277.0,211.0,66.0,39.0,10.0,14.0,15.0,,27.0,3.0,10.0,5.0,,3.0,2.0,14.0,6.0,2.0,,4.0,2.0
Waltham Forest,2018,E09000031,278.0,225.0,53.0,27.0,9.0,11.0,6.0,,26.0,4.0,5.0,,,4.0,,16.0,9.0,,,4.0,2.0
Wandsworth,2004,E09000032,276.0,218.0,58.0,20.0,17.0,3.0,,,37.0,3.0,14.0,1.0,1.0,10.0,2.0,20.0,9.0,1.0,3.0,4.0,3.0
Wandsworth,2005,E09000032,280.0,218.0,62.0,20.0,20.0,,,,41.0,3.0,9.0,,,6.0,2.0,29.0,13.0,,,5.0,10.0
Wandsworth,2006,E09000032,284.0,218.0,66.0,22.0,17.0,5.0,,,44.0,3.0,10.0,,1.0,5.0,4.0,30.0,12.0,,3.0,3.0,13.0
Wandsworth,2007,E09000032,288.0,215.0,73.0,29.0,21.0,6.0,,1.0,44.0,5.0,8.0,,,5.0,2.0,31.0,8.0,,3.0,5.0,15.0
Wandsworth,2008,E09000032,291.0,222.0,69.0,32.0,18.0,13.0,,,37.0,3.0,6.0,,1.0,4.0,1.0,28.0,9.0,,5.0,7.0,7.0
Wandsworth,2009,E09000032,296.0,227.0,69.0,28.0,21.0,6.0,,,41.0,5.0,7.0,,,3.0,3.0,28.0,6.0,,6.0,8.0,8.0
Wandsworth,2010,E09000032,299.0,217.0,81.0,39.0,24.0,11.0,3.0,,43.0,,10.0,,2.0,7.0,,32.0,13.0,,3.0,5.0,10.0
Wandsworth,2011,E09000032,304.0,212.0,92.0,46.0,30.0,14.0,2.0,,46.0,3.0,14.0,3.0,3.0,5.0,3.0,29.0,13.0,,6.0,2.0,7.0
Wandsworth,2012,E09000032,305.0,235.0,70.0,31.0,21.0,8.0,1.0,,38.0,4.0,8.0,3.0,,2.0,,27.0,10.0,,7.0,2.0,7.0
Wandsworth,2013,E09000032,307.0,251.0,54.0,25.0,20.0,4.0,,,29.0,3.0,5.0,2.0,2.0,1.0,,21.0,7.0,,3.0,5.0,5.0
Wandsworth,2014,E09000032,308.0,234.0,72.0,38.0,28.0,9.0,,,35.0,2.0,10.0,2.0,,6.0,,23.0,11.0,,1.0,3.0,8.0
Wandsworth,2015,E09000032,311.0,241.0,69.0,40.0,29.0,10.0,,,29.0,2.0,11.0,3.0,1.0,5.0,2.0,16.0,7.0,,2.0,3.0,4.0
Wandsworth,2016,E09000032,317.0,239.0,77.0,48.0,36.0,10.0,,,29.0,3.0,7.0,2.0,,4.0,,19.0,5.0,2.0,4.0,4.0,4.0
Wandsworth,2017,E09000032,320.0,244.0,77.0,55.0,44.0,10.0,,,22.0,6.0,5.0,,1.0,3.0,,12.0,2.0,,,4.0,5.0
Wandsworth,2018,E09000032,323.0,259.0,63.0,39.0,27.0,7.0,4.0,,25.0,3.0,8.0,,,6.0,,13.0,4.0,,4.0,2.0,4.0
Westminster,2004,E09000033,217.0,137.0,79.0,28.0,25.0,3.0,,,51.0,6.0,19.0,7.0,2.0,5.0,5.0,26.0,4.0,3.0,6.0,4.0,8.0
Westminster,2005,E09000033,225.0,140.0,85.0,31.0,28.0,3.0,,,54.0,5.0,20.0,10.0,5.0,3.0,3.0,28.0,8.0,2.0,9.0,3.0,7.0
Westminster,2006,E09000033,225.0,143.0,82.0,30.0,28.0,2.0,,,52.0,6.0,19.0,5.0,4.0,6.0,4.0,28.0,7.0,5.0,6.0,4.0,6.0
Westminster,2007,E09000033,224.0,140.0,83.0,31.0,26.0,3.0,,1.0,53.0,4.0,20.0,4.0,3.0,7.0,5.0,28.0,5.0,2.0,8.0,3.0,10.0
Westminster,2008,E09000033,222.0,145.0,77.0,29.0,23.0,3.0,1.0,1.0,48.0,4.0,22.0,5.0,8.0,3.0,5.0,22.0,2.0,3.0,8.0,2.0,6.0
Westminster,2009,E09000033,220.0,144.0,76.0,32.0,28.0,2.0,1.0,1.0,44.0,7.0,17.0,4.0,5.0,3.0,5.0,20.0,,3.0,9.0,5.0,4.0
Westminster,2010,E09000033,221.0,145.0,74.0,33.0,31.0,,1.0,,42.0,5.0,17.0,7.0,3.0,4.0,2.0,21.0,4.0,3.0,6.0,5.0,4.0
Westminster,2011,E09000033,223.0,141.0,82.0,28.0,26.0,,1.0,,54.0,4.0,26.0,10.0,10.0,3.0,4.0,23.0,4.0,2.0,10.0,4.0,3.0
Westminster,2012,E09000033,227.0,158.0,69.0,28.0,24.0,3.0,1.0,,41.0,3.0,22.0,6.0,9.0,3.0,3.0,16.0,3.0,2.0,6.0,3.0,3.0
Westminster,2013,E09000033,230.0,154.0,76.0,33.0,28.0,5.0,,,43.0,4.0,20.0,6.0,7.0,4.0,3.0,19.0,3.0,,8.0,3.0,5.0
Westminster,2014,E09000033,232.0,156.0,77.0,39.0,32.0,6.0,,,37.0,3.0,19.0,6.0,4.0,3.0,5.0,16.0,1.0,2.0,7.0,3.0,3.0
Westminster,2015,E09000033,243.0,166.0,76.0,36.0,30.0,4.0,,1.0,40.0,2.0,18.0,3.0,6.0,5.0,3.0,20.0,2.0,1.0,10.0,3.0,4.0
Westminster,2016,E09000033,251.0,166.0,85.0,47.0,37.0,5.0,3.0,1.0,38.0,4.0,15.0,5.0,4.0,2.0,3.0,19.0,,3.0,11.0,3.0,2.0
Westminster,2017,E09000033,255.0,162.0,92.0,54.0,44.0,5.0,4.0,1.0,38.0,6.0,15.0,2.0,6.0,3.0,4.0,17.0,2.0,1.0,11.0,1.0,1.0
Westminster,2018,E09000033,251.0,171.0,80.0,42.0,37.0,3.0,,,38.0,3.0,18.0,3.0,7.0,5.0,3.0,17.0,2.0,,8.0,4.0,3.0
