Borough,Year,Code,Numbers__Christian,Numbers__Buddhist,Numbers__Hindu,Numbers__Jewish,Numbers__Muslim,Numbers__Sikh,Numbers__Any Other Religion,Numbers__No Religion,Numbers__Total,Percentages__Christian,Percentages__Buddhist,Percentages__Hindu,Percentages__Jewish,Percentages__Muslim,Percentages__Sikh,Percentages__Any Other Religion,Percentages__No Religion
Barking and Dagenham,2004,E09000002,112100.0,,5300.0,,16300.0,2100.0,2500.0,18200.0,156300.0,71.7,,3.4,,10.4,1.3,1.6,11.6
Barking and Dagenham,2005,E09000002,120100.0,,3400.0,,12300.0,2300.0,2500.0,24800.0,165400.0,72.6,,2.0,,7.4,1.4,1.5,15.0
Barking and Dagenham,2006,E09000002,109800.0,,3300.0,,18600.0,3500.0,2500.0,28300.0,166100.0,66.1,,2.0,,11.2,2.1,1.5,17.1
Barking and Dagenham,2007,E09000002,116700.0,,6700.0,,16100.0,,3900.0,24500.0,167900.0,69.5,,4.0,,9.6,,2.3,14.6
Barking and Dagenham,2008,E09000002,115700.0,,3300.0,,17600.0,,3500.0,31100.0,171100.0,67.6,,1.9,,10.3,,2.0,18.2
Barking and Dagenham,2009,E09000002,112900.0,,3200.0,,26500.0,,3900.0,29700.0,176300.0,64.1,,1.8,,15.0,,2.2,16.9
Barking and Dagenham,2010,E09000002,117200.0,,,,25400.0,3900.0,5500.0,29700.0,181700.0,64.5,,,,14.0,2.1,3.0,16.4
Barking and Dagenham,2011,E09000002,117900.0,,1900.0,,23100.0,,6000.0,35400.0,184300.0,64.0,,1.0,,12.5,,3.3,19.2
Barking and Dagenham,2012,E09000002,115200.0,,2200.0,,27700.0,3800.0,1900.0,37600.0,189400.0,60.8,,1.1,,14.6,2.0,1.0,19.8
Barking and Dagenham,2013,E09000002,120000.0,,3600.0,,30400.0,2200.0,,33200.0,192900.0,62.2,,1.9,,15.8,1.1,,17.2
Barking and Dagenham,2014,E09000002,112500.0,,4700.0,,34100.0,4900.0,4400.0,32700.0,195100.0,57.7,,2.4,,17.5,2.5,2.3,16.7
Barking and Dagenham,2015,E09000002,118100.0,,4200.0,,39100.0,5200.0,3700.0,29100.0,201500.0,58.6,,2.1,,19.4,2.6,1.8,14.4
Barking and Dagenham,2016,E09000002,122300.0,,6600.0,,44000.0,3400.0,3800.0,26700.0,206900.0,59.1,,3.2,,21.3,1.7,1.8,12.9
Barking and Dagenham,2017,E09000002,112600.0,,5600.0,,47300.0,3800.0,4400.0,35100.0,208800.0,53.9,,2.7,,22.7,1.8,2.1,16.8
Barking and Dagenham,2018,E09000002,115800.0,,6600.0,,54400.0,3200.0,,33300.0,214900.0,53.9,,3.0,,25.3,1.5,,15.5
Barnet,2004,E09000003,157600.0,3900.0,27200.0,50900.0,14200.0,3700.0,8600.0,35800.0,302000.0,52.2,1.3,9.0,16.9,4.7,1.2,2.9,11.9
Barnet,2005,E09000003,166500.0,,21700.0,56000.0,26500.0,,11900.0,34600.0,317200.0,52.5,,6.8,17.7,8.4,,3.8,10.9
Barnet,2006,E09000003,166400.0,,19300.0,50300.0,30900.0,,8100.0,44500.0,319500.0,52.1,,6.0,15.7,9.7,,2.5,13.9
Barnet,2007,E09000003,178100.0,,24000.0,54000.0,22200.0,,8800.0,36300.0,323400.0,55.1,,7.4,16.7,6.9,,2.7,11.2
Barnet,2008,E09000003,159400.0,,21000.0,61900.0,32300.0,,9300.0,46400.0,330300.0,48.2,,6.4,18.7,9.8,,2.8,14.0
Barnet,2009,E09000003,166600.0,,21600.0,56900.0,40900.0,,11800.0,38700.0,336400.0,49.5,,6.4,16.9,12.1,,3.5,11.5
Barnet,2010,E09000003,186900.0,,29300.0,49000.0,25400.0,,6800.0,43800.0,341200.0,54.8,,8.6,14.4,7.5,,2.0,12.8
Barnet,2011,E09000003,145600.0,,26100.0,55800.0,30900.0,,19000.0,69500.0,346900.0,42.0,,7.5,16.1,8.9,,5.5,20.0
Barnet,2012,E09000003,135300.0,,13500.0,58200.0,50400.0,,14500.0,75000.0,351400.0,38.5,,3.8,16.6,14.3,,4.1,21.4
Barnet,2013,E09000003,171200.0,5600.0,16000.0,46300.0,37900.0,,,74800.0,355400.0,48.2,1.6,4.5,13.0,10.7,,,21.0
Barnet,2014,E09000003,174700.0,8300.0,20600.0,41600.0,45100.0,,8400.0,59000.0,359100.0,48.7,2.3,5.7,11.6,12.6,,2.4,16.4
Barnet,2015,E09000003,148500.0,,25200.0,52300.0,38600.0,,9700.0,84700.0,361900.0,41.0,,7.0,14.4,10.7,,2.7,23.4
Barnet,2016,E09000003,138000.0,7300.0,25400.0,65900.0,35900.0,,15100.0,88000.0,375700.0,36.7,2.0,6.8,17.6,9.5,,4.0,23.4
Barnet,2017,E09000003,145400.0,4200.0,18100.0,85600.0,30600.0,4700.0,12300.0,76800.0,377700.0,38.5,1.1,4.8,22.7,8.1,1.2,3.3,20.3
Barnet,2018,E09000003,152500.0,7500.0,15400.0,74500.0,46000.0,,17200.0,75600.0,388600.0,39.2,1.9,4.0,19.2,11.8,,4.4,19.4
Bexley,2004,E09000004,165400.0,,3300.0,,4000.0,3800.0,2800.0,32500.0,211800.0,78.1,,1.6,,1.9,1.8,1.3,15.4
Bexley,2005,E09000004,181600.0,,,,4000.0,4100.0,4000.0,26800.0,220400.0,82.4,,,,1.8,1.8,1.8,12.1
Bexley,2006,E09000004,174000.0,,,,4400.0,4900.0,4000.0,34800.0,222000.0,78.4,,,,2.0,2.2,1.8,15.7
Bexley,2007,E09000004,170000.0,,4100.0,,6200.0,,5800.0,36900.0,223000.0,76.2,,1.9,,2.8,,2.6,16.6
Bexley,2008,E09000004,177400.0,,2500.0,,,3600.0,7000.0,34200.0,224700.0,79.0,,1.1,,,1.6,3.1,15.2
Bexley,2009,E09000004,178300.0,,4100.0,,3100.0,,3100.0,38500.0,227000.0,78.5,,1.8,,1.4,,1.4,17.0
Bexley,2010,E09000004,164600.0,,5000.0,,4100.0,,5900.0,49900.0,229400.0,71.7,,2.2,,1.8,,2.6,21.8
Bexley,2011,E09000004,154500.0,,4300.0,,4900.0,5000.0,3700.0,57400.0,229800.0,67.2,,1.9,,2.1,2.2,1.6,25.0
Bexley,2012,E09000004,170900.0,,,,9100.0,,,49300.0,233100.0,73.3,,,,3.9,,,21.1
Bexley,2013,E09000004,171600.0,,,,9800.0,,,48300.0,235300.0,72.9,,,,4.2,,,20.5
Bexley,2014,E09000004,164000.0,,,,8800.0,,,60900.0,238300.0,68.8,,,,3.7,,,25.6
Bexley,2015,E09000004,163300.0,,4200.0,,9300.0,4800.0,,54900.0,240300.0,68.0,,1.8,,3.9,2.0,,22.9
Bexley,2016,E09000004,160500.0,,4900.0,,8000.0,4000.0,3900.0,62400.0,243600.0,65.9,,2.0,,3.3,1.7,1.6,25.6
Bexley,2017,E09000004,154000.0,,,,10400.0,5300.0,5000.0,70100.0,244700.0,62.9,,,,4.3,2.2,2.0,28.6
Bexley,2018,E09000004,148000.0,,4400.0,,11700.0,,5500.0,79200.0,248800.0,59.5,,1.8,,4.7,,2.2,31.8
Brent,2004,E09000005,129800.0,,36000.0,8500.0,39700.0,,9700.0,35500.0,259200.0,50.1,,13.9,3.3,15.3,,3.7,13.7
Brent,2005,E09000005,125700.0,,52100.0,10100.0,43900.0,,7200.0,23700.0,267700.0,46.9,1.8,19.5,3.8,16.4,,2.7,8.9
Brent,2006,E09000005,122500.0,,49800.0,5900.0,57700.0,,6000.0,26500.0,274100.0,44.7,2.1,18.2,2.2,21.0,,2.2,9.7
Brent,2007,E09000005,135900.0,,50900.0,5700.0,47200.0,,8500.0,28600.0,280500.0,48.5,1.3,18.1,2.0,16.8,,3.0,10.2
Brent,2008,E09000005,138300.0,,45900.0,6500.0,42900.0,,8400.0,39400.0,288000.0,48.0,2.3,15.9,2.3,14.9,,2.9,13.7
Brent,2009,E09000005,152700.0,,49300.0,6200.0,43000.0,,14900.0,29800.0,296000.0,51.6,,16.7,2.1,14.5,,5.0,10.1
Brent,2010,E09000005,154700.0,,46500.0,6100.0,54200.0,,13000.0,28200.0,302600.0,51.1,,15.4,2.0,17.9,,4.3,9.3
Brent,2011,E09000005,131200.0,,47000.0,6500.0,68100.0,,19900.0,36000.0,308800.0,42.5,,15.2,2.1,22.1,,6.4,11.7
Brent,2012,E09000005,131900.0,2800.0,63600.0,3500.0,60700.0,,11500.0,36500.0,310700.0,42.4,0.9,20.5,1.1,19.5,,3.7,11.8
Brent,2013,E09000005,132400.0,,61500.0,4000.0,69700.0,,12200.0,31000.0,313400.0,42.3,,19.6,1.3,22.2,,3.9,9.9
Brent,2014,E09000005,129000.0,3200.0,53400.0,5200.0,74500.0,,10600.0,38400.0,314500.0,41.0,1.0,17.0,1.7,23.7,,3.4,12.2
Brent,2015,E09000005,121200.0,,60600.0,3900.0,74600.0,,11100.0,46300.0,320000.0,37.9,,18.9,1.2,23.3,,3.5,14.5
Brent,2016,E09000005,126200.0,,48400.0,4600.0,77100.0,,15600.0,47800.0,323500.0,39.0,1.2,15.0,1.4,23.8,,4.8,14.8
Brent,2017,E09000005,134600.0,,39100.0,,101400.0,,12300.0,35700.0,326200.0,41.3,1.0,12.0,,31.1,,3.8,10.9
Brent,2018,E09000005,111100.0,,51600.0,,97600.0,,18500.0,49200.0,328100.0,33.9,,15.7,,29.7,,5.6,15.0
Bromley,2004,E09000006,232100.0,,,,4900.0,,5600.0,40400.0,282900.0,82.0,,,,1.7,,2.0,14.3
Bromley,2005,E09000006,229800.0,,3800.0,,7400.0,,4500.0,51500.0,297000.0,77.4,,1.3,,2.5,,1.5,17.3
Bromley,2006,E09000006,228100.0,,,,5800.0,,6800.0,57900.0,298500.0,76.4,,,,1.9,,2.3,19.4
Bromley,2007,E09000006,216300.0,,6200.0,,7700.0,,5700.0,62900.0,298800.0,72.4,,2.1,,2.6,,1.9,21.0
Bromley,2008,E09000006,231300.0,,4600.0,,9000.0,,4800.0,52600.0,302200.0,76.5,,1.5,,3.0,,1.6,17.4
Bromley,2009,E09000006,233000.0,,,,5800.0,,7900.0,56500.0,303200.0,76.9,,,,1.9,,2.6,18.6
Bromley,2010,E09000006,228000.0,,,,10700.0,,7900.0,59300.0,305900.0,74.5,,,,3.5,,2.6,19.4
Bromley,2011,E09000006,209000.0,,6800.0,,11800.0,,4700.0,75600.0,307900.0,67.9,,2.2,,3.8,,1.5,24.6
Bromley,2012,E09000006,184200.0,,5100.0,,11400.0,,6600.0,99000.0,310600.0,59.3,,1.7,,3.7,,2.1,31.9
Bromley,2013,E09000006,184600.0,,4400.0,,9900.0,,5200.0,106800.0,315500.0,58.5,,1.4,,3.1,,1.6,33.8
Bromley,2014,E09000006,195000.0,,6600.0,,11100.0,,3800.0,97300.0,317900.0,61.4,,2.1,,3.5,,1.2,30.6
Bromley,2015,E09000006,194700.0,,5600.0,,14100.0,,5400.0,95900.0,321900.0,60.5,,1.7,,4.4,,1.7,29.8
Bromley,2016,E09000006,187400.0,,,,15800.0,,11500.0,110000.0,324700.0,57.7,,,,4.9,,3.5,33.9
Bromley,2017,E09000006,190700.0,,6500.0,,11400.0,,14200.0,103700.0,326400.0,58.4,,2.0,,3.5,,4.3,31.8
Bromley,2018,E09000006,175400.0,,5500.0,,11100.0,,11400.0,128000.0,331500.0,52.9,,1.7,,3.4,,3.4,38.6
Camden,2004,E09000007,106800.0,2500.0,,9600.0,31300.0,,6300.0,34700.0,191100.0,55.9,1.3,,5.0,16.3,,3.3,18.2
Camden,2005,E09000007,101800.0,,4400.0,15400.0,38100.0,,6300.0,40300.0,206300.0,49.3,,2.2,7.5,18.4,,3.0,19.6
Camden,2006,E09000007,106600.0,2800.0,,11900.0,35800.0,,3600.0,45300.0,206000.0,51.8,1.4,,5.8,17.4,,1.7,22.0
Camden,2007,E09000007,105300.0,2100.0,2900.0,11300.0,29500.0,,1900.0,53400.0,206400.0,51.0,1.0,1.4,5.5,14.3,,0.9,25.9
Camden,2008,E09000007,103300.0,2300.0,,13500.0,26800.0,,4100.0,56500.0,206500.0,50.0,1.1,,6.5,13.0,,2.0,27.4
Camden,2009,E09000007,96300.0,,4300.0,15700.0,26300.0,,6000.0,60800.0,209300.0,46.0,,2.1,7.5,12.5,,2.8,29.0
Camden,2010,E09000007,102400.0,,,12700.0,26800.0,,4500.0,63600.0,210000.0,48.8,,,6.1,12.8,,2.1,30.3
Camden,2011,E09000007,82000.0,3500.0,,11200.0,35900.0,,3700.0,76000.0,212300.0,38.6,1.6,,5.3,16.9,,1.7,35.8
Camden,2012,E09000007,88600.0,2400.0,5900.0,11900.0,33000.0,,3900.0,74500.0,220100.0,40.2,1.1,2.7,5.4,15.0,,1.8,33.9
Camden,2013,E09000007,93600.0,3700.0,4500.0,8500.0,34000.0,,3800.0,76400.0,225200.0,41.5,1.6,2.0,3.8,15.1,,1.7,33.9
Camden,2014,E09000007,92300.0,5900.0,4300.0,11200.0,27700.0,,3600.0,83300.0,228300.0,40.4,2.6,1.9,4.9,12.1,,1.6,36.5
Camden,2015,E09000007,101800.0,,,10400.0,32300.0,,3700.0,85100.0,237800.0,42.8,,,4.4,13.6,,1.6,35.8
Camden,2016,E09000007,94400.0,4000.0,,13000.0,37800.0,,7200.0,86900.0,243300.0,38.8,1.7,,5.3,15.5,,2.9,35.7
Camden,2017,E09000007,94800.0,5500.0,4400.0,12200.0,35200.0,,7500.0,88700.0,248100.0,38.2,2.2,1.8,4.9,14.2,,3.0,35.7
Camden,2018,E09000007,85100.0,,5300.0,13400.0,41200.0,,13500.0,92900.0,251400.0,33.9,,2.1,5.3,16.4,,5.4,37.0
City of London,2004,E09000001,,,,,,,,,5900.0,,,,,,,,
City of London,2005,E09000001,7000.0,,,,,,,,11600.0,60.6,,,,,,,
City of London,2006,E09000001,,,,,,,,,5500.0,,,,,,,,
City of London,2007,E09000001,,,,,,,,,,,,,,,,,
City of London,2008,E09000001,5400.0,,,,,,,,7900.0,68.9,,,,,,,
City of London,2009,E09000001,,,,,,,,,,,,,,,,,
City of London,2010,E09000001,,,,,,,,,,,,,,,,,
City of London,2011,E09000001,,,,,,,,,,,,,,,,,
City of London,2012,E09000001,,,,,,,,,,,,,,,,,
City of London,2013,E09000001,,,,,,,,,,,,,,,,,
City of London,2014,E09000001,,,,,,,,,,,,,,,,,
City of London,2015,E09000001,,,,,,,,,7400.0,,,,,,,,
City of London,2016,E09000001,,,,,,,,,,,,,,,,,
City of London,2017,E09000001,,,,,,,,,14000.0,,,,,,,,
City of London,2018,E09000001,,,,,,,,,9100.0,,,,,,,,
Croydon,2004,E09000008,222600.0,,17700.0,,16600.0,,10100.0,44200.0,311200.0,71.5,,5.7,,5.3,,3.2,14.2
Croydon,2005,E09000008,231100.0,,13700.0,,22900.0,,7200.0,60900.0,335700.0,68.8,,4.1,,6.8,,2.1,18.1
Croydon,2006,E09000008,233400.0,,17500.0,,14300.0,,10000.0,62200.0,337400.0,69.2,,5.2,,4.2,,3.0,18.4
Croydon,2007,E09000008,229800.0,,15400.0,,19000.0,,17900.0,58500.0,340700.0,67.5,,4.5,,5.6,,5.3,17.2
Croydon,2008,E09000008,234200.0,,26100.0,,14000.0,,11400.0,60100.0,345800.0,67.7,,7.5,,4.1,,3.3,17.4
Croydon,2009,E09000008,222900.0,,27000.0,,12100.0,,17100.0,69800.0,348800.0,63.9,,7.7,,3.5,,4.9,20.0
Croydon,2010,E09000008,209100.0,,12200.0,,28400.0,,21400.0,83700.0,354800.0,58.9,,3.4,,8.0,,6.0,23.6
Croydon,2011,E09000008,197500.0,,22600.0,,40600.0,,9700.0,91400.0,361700.0,54.6,,6.2,,11.2,,2.7,25.3
Croydon,2012,E09000008,196900.0,,30700.0,,25400.0,,5200.0,103500.0,365100.0,53.9,,8.4,,7.0,,1.4,28.4
Croydon,2013,E09000008,214500.0,,24300.0,,32900.0,,,91900.0,368700.0,58.2,,6.6,,8.9,,,24.9
Croydon,2014,E09000008,225500.0,,17400.0,,29100.0,,,90800.0,371600.0,60.7,,4.7,,7.8,,,24.4
Croydon,2015,E09000008,221500.0,,15400.0,,43500.0,,,89600.0,375100.0,59.1,,4.1,,11.6,,,23.9
Croydon,2016,E09000008,189100.0,,26700.0,,42600.0,,16100.0,105400.0,379900.0,49.8,,7.0,,11.2,,4.2,27.7
Croydon,2017,E09000008,196600.0,,22200.0,,48500.0,,12900.0,100400.0,380600.0,51.6,,5.8,,12.7,,3.4,26.4
Croydon,2018,E09000008,189200.0,,21300.0,,33800.0,,10900.0,128900.0,384100.0,49.3,,5.5,,8.8,,2.8,33.6
Ealing,2004,E09000009,160000.0,3800.0,26100.0,,40700.0,22300.0,6500.0,31300.0,290600.0,55.1,1.3,9.0,,14.0,7.7,2.2,10.8
Ealing,2005,E09000009,168400.0,7200.0,31300.0,,43800.0,9900.0,6300.0,41900.0,308800.0,54.5,2.3,10.1,,14.2,3.2,2.0,13.6
Ealing,2006,E09000009,177600.0,,34100.0,3200.0,34900.0,19100.0,5300.0,37200.0,311500.0,57.0,,11.0,1.0,11.2,6.1,1.7,11.9
Ealing,2007,E09000009,154300.0,4100.0,23800.0,,56900.0,32700.0,4900.0,38900.0,315700.0,48.9,1.3,7.5,,18.0,10.4,1.6,12.3
Ealing,2008,E09000009,171600.0,5100.0,24300.0,,54000.0,25400.0,4600.0,36100.0,321000.0,53.5,1.6,7.6,,16.8,7.9,1.4,11.3
Ealing,2009,E09000009,162500.0,4500.0,29800.0,,56700.0,30200.0,3500.0,39500.0,326500.0,49.7,1.4,9.1,,17.4,9.3,1.1,12.1
Ealing,2010,E09000009,148500.0,4400.0,25100.0,,73100.0,28400.0,5700.0,42300.0,327400.0,45.4,1.3,7.7,,22.3,8.7,1.7,12.9
Ealing,2011,E09000009,160800.0,,27100.0,,58200.0,14200.0,8200.0,64800.0,333300.0,48.2,,8.1,,17.5,4.3,2.4,19.5
Ealing,2012,E09000009,155100.0,3400.0,25600.0,,52200.0,25200.0,5300.0,68500.0,336100.0,46.2,1.0,7.6,,15.5,7.5,1.6,20.4
Ealing,2013,E09000009,143500.0,3400.0,39400.0,,57100.0,24700.0,,67700.0,338700.0,42.4,1.0,11.6,,16.9,7.3,,20.0
Ealing,2014,E09000009,155100.0,,35900.0,,54400.0,17600.0,,67200.0,337500.0,45.9,,10.6,,16.1,5.2,,19.9
Ealing,2015,E09000009,151600.0,,22800.0,3100.0,65200.0,31900.0,,59400.0,339700.0,44.6,,6.7,0.9,19.2,9.4,,17.5
Ealing,2016,E09000009,134200.0,7200.0,26600.0,3600.0,65900.0,27500.0,,72900.0,341300.0,39.3,2.1,7.8,1.0,19.3,8.1,,21.4
Ealing,2017,E09000009,124300.0,,42800.0,,50900.0,27700.0,12900.0,80000.0,338600.0,36.7,,12.6,,15.0,8.2,3.8,23.6
Ealing,2018,E09000009,147900.0,,30600.0,,44000.0,22900.0,13800.0,82700.0,341900.0,43.3,,8.9,,12.9,6.7,4.0,24.2
Enfield,2004,E09000010,185300.0,,15200.0,3700.0,19300.0,,6400.0,25600.0,255400.0,72.6,,5.9,1.4,7.5,,2.5,10.0
Enfield,2005,E09000010,200500.0,,12100.0,,30800.0,,6100.0,20900.0,270400.0,74.2,,4.5,,11.4,,2.3,7.7
Enfield,2006,E09000010,192700.0,,10500.0,4300.0,42300.0,,6100.0,22400.0,278200.0,69.3,,3.8,1.6,15.2,,2.2,8.0
Enfield,2007,E09000010,182400.0,,11000.0,7000.0,56400.0,,4600.0,25300.0,286800.0,63.6,,3.8,2.5,19.7,,1.6,8.8
Enfield,2008,E09000010,184700.0,,13500.0,7400.0,48700.0,,6200.0,28700.0,289200.0,63.9,,4.7,2.6,16.8,,2.2,9.9
Enfield,2009,E09000010,177700.0,2900.0,12200.0,4900.0,56400.0,,8600.0,32800.0,295600.0,60.1,1.0,4.1,1.7,19.1,,2.9,11.1
Enfield,2010,E09000010,184400.0,,10100.0,,58300.0,,12500.0,36700.0,302100.0,61.1,,3.4,,19.3,,4.1,12.1
Enfield,2011,E09000010,180300.0,3800.0,17200.0,5300.0,36400.0,,16300.0,44600.0,304000.0,59.3,1.3,5.7,1.8,12.0,,5.4,14.7
Enfield,2012,E09000010,182500.0,,13100.0,4500.0,48800.0,,16500.0,40900.0,311300.0,58.6,,4.2,1.4,15.7,,5.3,13.1
Enfield,2013,E09000010,182500.0,,8800.0,,55800.0,,9800.0,51500.0,314000.0,58.1,,2.8,,17.8,,3.1,16.4
Enfield,2014,E09000010,168900.0,,13600.0,,60100.0,,20100.0,46600.0,314100.0,53.8,,4.3,,19.1,,6.4,14.8
Enfield,2015,E09000010,159300.0,5100.0,8100.0,4400.0,58400.0,,22500.0,55700.0,314000.0,50.7,1.6,2.6,1.4,18.6,,7.2,17.7
Enfield,2016,E09000010,157500.0,,12200.0,5500.0,55200.0,,23400.0,72500.0,326300.0,48.3,,3.7,1.7,16.9,,7.2,22.2
Enfield,2017,E09000010,168200.0,,12400.0,,49800.0,,19300.0,78200.0,328000.0,51.3,,3.8,,15.2,,5.9,23.9
Enfield,2018,E09000010,185200.0,,13600.0,,49400.0,,13100.0,74100.0,335400.0,55.2,,4.0,,14.7,,3.9,22.1
Greenwich,2004,E09000011,149000.0,4300.0,4600.0,,9500.0,6800.0,2600.0,37600.0,214500.0,69.5,2.0,2.2,,4.5,3.2,1.2,17.5
Greenwich,2005,E09000011,154700.0,4200.0,,,9600.0,6100.0,5800.0,47700.0,228000.0,67.9,1.8,,,4.2,2.7,2.5,20.9
Greenwich,2006,E09000011,161300.0,3700.0,,,13700.0,3800.0,4600.0,44200.0,231300.0,69.7,1.6,,,5.9,1.6,2.0,19.1
Greenwich,2007,E09000011,161400.0,2700.0,6300.0,,19300.0,3700.0,3800.0,36900.0,234100.0,68.9,1.2,2.7,,8.3,1.6,1.6,15.7
Greenwich,2008,E09000011,159700.0,,5900.0,,14900.0,5700.0,4900.0,44900.0,236100.0,67.7,,2.5,,6.3,2.4,2.1,19.0
Greenwich,2009,E09000011,145900.0,4500.0,4200.0,,18300.0,3500.0,3000.0,61300.0,240800.0,60.6,1.9,1.8,,7.6,1.5,1.2,25.5
Greenwich,2010,E09000011,153100.0,6000.0,8200.0,,15900.0,2800.0,4300.0,56500.0,246700.0,62.1,2.4,3.3,,6.4,1.1,1.8,22.9
Greenwich,2011,E09000011,150700.0,6800.0,10000.0,,12000.0,,6000.0,66700.0,252100.0,59.8,2.7,3.9,,4.8,,2.4,26.4
Greenwich,2012,E09000011,149100.0,3500.0,8100.0,,17500.0,3800.0,,72800.0,257500.0,57.9,1.4,3.1,,6.8,1.5,,28.3
Greenwich,2013,E09000011,141400.0,9900.0,14900.0,,17600.0,,,72500.0,261200.0,54.1,3.8,5.7,,6.7,,,27.7
Greenwich,2014,E09000011,135100.0,5600.0,10700.0,,28700.0,,4800.0,78800.0,265700.0,50.9,2.1,4.0,,10.8,,1.8,29.6
Greenwich,2015,E09000011,152600.0,6600.0,13600.0,,14900.0,,,77300.0,270900.0,56.3,2.4,5.0,,5.5,,,28.5
Greenwich,2016,E09000011,140300.0,8700.0,14200.0,,16200.0,,6100.0,91100.0,276600.0,50.7,3.1,5.1,,5.9,,2.2,32.9
Greenwich,2017,E09000011,144600.0,3500.0,9700.0,,15800.0,4000.0,4000.0,97900.0,279500.0,51.7,1.3,3.5,,5.6,1.4,1.4,35.0
Greenwich,2018,E09000011,140300.0,,7000.0,,18100.0,9900.0,12200.0,95100.0,282600.0,49.7,,2.5,,6.4,3.5,4.3,33.6
Hackney,2004,E09000012,106500.0,,,11800.0,35000.0,,4700.0,42500.0,200400.0,53.1,,,5.9,17.5,,2.4,21.2
Hackney,2005,E09000012,118200.0,2800.0,,15800.0,33400.0,,3900.0,40900.0,215000.0,55.0,1.3,,7.4,15.5,,1.8,19.0
Hackney,2006,E09000012,120600.0,3600.0,2000.0,14200.0,32100.0,,2400.0,41900.0,216800.0,55.6,1.7,0.9,6.6,14.8,,1.1,19.3
Hackney,2007,E09000012,116300.0,3700.0,,8100.0,40800.0,,3400.0,51100.0,223300.0,52.1,1.6,,3.6,18.3,,1.5,22.9
